Date, Race, Distance, Ascent, Venue, Country, Region, Distance (mil), Climb (m), Gmap, Web
Sun 1st Apr 2018 at 11:00,01/04 Peat Pits Wood 1,4.7km / 2.9m,106m / 348ft,Bear Inn Sandhall Lane Alderwasley Derbyshire DE56 2RD,England,Peak District,2.9,106,Bear Inn Sandhall Lane Alderwasley Derbyshire DE56 2RD,http://fellrunner.org.uk/races.php?id=5885 
Tue 3rd Apr 2018 at 19:15,03/04 Aber Bach,7.8km / 4.8m,350m / 1148ft,Aber Falls car park Bangor,Wales,Wales,4.8,350,Aber Falls car park Bangor,http://fellrunner.org.uk/races.php?id=5477 
Tue 3rd Apr 2018 at 19:15,03/04 Bunny Run 2,4.8km / 3m,100m / 328ft,Old Sun Hotel Haworth W Yorks 5 min walk to start,England,South/West Pennines,3.0,100,Old Sun Hotel Haworth W Yorks 5 min walk to start,http://fellrunner.org.uk/races.php?id=5781 
Wed 4th Apr 2018 at 19:00,04/04 Grisedale Grind,4km / 2.5m,480m / 1575ft,Revelin Moss opposite Whinlatter Visitor Centre,England,Lake District,2.5,480,Revelin Moss opposite Whinlatter Visitor Centre,http://fellrunner.org.uk/races.php?id=5859 
Sat 7th Apr 2018 at 11:00,07/04 Coledale Horseshoe,13.7km / 8.5m,915m / 3002ft,Braithwaite Lodge,England,Lake District,8.5,915,54.597227 -3.190224,http://fellrunner.org.uk/races.php?id=5642 
Sat 7th Apr 2018 at 12:00,07/04 Pendle Juniors,Unknown,Unknown,Barley Village Hall Barley Burnley,England,South/West Pennines,0.0,0,Barley Village Hall Barley Burnley,http://fellrunner.org.uk/races.php?id=5968 
Sat 7th Apr 2018 at 14:00,07/04 Pendle,7.3km / 4.5m,457m / 1499ft,Barley Village Hall Barley Burnley,England,South/West Pennines,4.5,457,Barley Village Hall Barley Burnley,http://fellrunner.org.uk/races.php?id=5875 
Sat 7th Apr 2018 at 14:00,07/04 Wardle Skyline,11.3km / 7m,381m / 1250ft,Wardle Square off A58 Rochdale/Littleborough Rd,England,South/West Pennines,7.0,381,Wardle Square off A58 Rochdale/Littleborough Rd,http://fellrunner.org.uk/races.php?id=5746 
Sun 8th Apr 2018 at 10:00,08/04 Exe To Axe,32.4km / 20.1m,1219m / 3999ft,Foxes Hole Car Park Exmouth EX8 2AY,England,South West,20.1,1219,50.611324 -3.396330,http://fellrunner.org.uk/races.php?id=5533 
Sun 8th Apr 2018 at 11:00,08/04 Mow Cop,10.5km / 6.5m,400m / 1312ft,Mount Pleasant/ Mow Cop Village Hall Mount Pleasant Rd ST7 3LG,England,Midlands,6.5,400,Mount Pleasant/ Mow Cop Village Hall Mount Pleasant Rd ST7 3LG,http://fellrunner.org.uk/races.php?id=5852 
