Date, Race, Distance, Ascent, Venue, Country, Region, Distance (mil), Climb (m), Gmap, Web
Wed 1st Aug 2018 at 19:00,01/08 Neolith,8km / 5m,330m / 1083ft,Merrivale Dartmoor,England,South West,5.0,330,Merrivale Dartmoor,http://fellrunner.org.uk/races.php?id=5990 
Wed 1st Aug 2018 at 19:30,01/08 Cracken Edge,11.3km / 7m,442m / 1450ft,Kinder MRT HQ behind George Hotel Hayfield SK22 2JE,England,Peak District,7.0,442,53.378956 -1.945843,http://fellrunner.org.uk/races.php?id=5723 
Wed 1st Aug 2018 at 19:30,01/08 Whittle Pike,8.2km / 5.1m,488m / 1601ft,Cowpe Village Hall Waterfoot Rossendale,England,South/West Pennines,5.1,488,Cowpe Village Hall Waterfoot Rossendale,http://fellrunner.org.uk/races.php?id=5561 
Wed 1st Aug 2018,01/08 Ponderosa,6.4km / 4m,289m / 948ft,Ponderosa Cafe Horseshoe Pass Llangollen 193481,Wales,Wales,4.0,289,Ponderosa Cafe Horseshoe Pass Llangollen 193481,http://fellrunner.org.uk/races.php?id=5809 
Thu 2nd Aug 2018 at 19:15,02/08 Eshton Moor ( B O F R A ),8.3km / 5.2m,172m / 564ft,Old Hall Farm Gargrave BD20 3UT,England,York. Dales,5.2,172,Old Hall Farm Gargrave BD20 3UT,http://fellrunner.org.uk/races.php?id=5675 
Thu 2nd Aug 2018 at 19:30,02/08 Bluebell 2,6.5km / 4m,136m / 446ft,Bluebell Inn Farnah Green Belper DE56 2UP,England,Peak District,4.0,136,Bluebell Inn Farnah Green Belper DE56 2UP,http://fellrunner.org.uk/races.php?id=5891 
Fri 3rd Aug 2018 at 19:00,03/08 Salt Cellar,10.9km / 6.8m,486m / 1594ft,Fairholmes Car Park Derwent Bamford S33 0AQ,England,Peak District,6.8,486,53.400262 -1.741275,http://fellrunner.org.uk/races.php?id=5719 
Sat 4th Aug 2018 at 11:00,04/08 Borrowdale,27km / 16.8m,2000m / 6562ft,Rosthwaite village Borrowdale,England,Lake District,16.8,2000,Rosthwaite village Borrowdale,http://fellrunner.org.uk/races.php?id=5818 
Sat 4th Aug 2018 at 14:00,04/08 Marilyn's Meldon Madness,8km / 5m,415m / 1362ft,Meldon reservoir Okehampton,England,South West,5.0,415,50.707071 -4.039353,http://fellrunner.org.uk/races.php?id=5726 
Sat 4th Aug 2018 at 14:00,04/08 Osmotherley Show,8.8km / 5.5m,320m / 1050ft,Osmotherley Show Ground Thimbleby DL6 3PY,England,North York Moors,5.5,320,Osmotherley Show Ground Thimbleby DL6 3PY,http://fellrunner.org.uk/races.php?id=5587 
Sat 4th Aug 2018 at 14:30,04/08 Tegg's Nose,12.8km / 8m,525m / 1722ft,Trials field Bullocks Lane Sutton Macclesfield SK11 0HE,England,Peak District,8.0,525,Trials field Bullocks Lane Sutton Macclesfield SK11 0HE,http://fellrunner.org.uk/races.php?id=5895 
Sat 4th Aug 2018 at 15:15,04/08 Hellifield Gala,5.6km / 3.5m,260m / 853ft,Hellifield Recreation Field BD23 4JE,England,York. Dales,3.5,260,Hellifield Recreation Field BD23 4JE,http://fellrunner.org.uk/races.php?id=5599 
Sun 5th Aug 2018 at 10:30,05/08 Brecon Beacons,30.6km / 19m,1372m / 4501ft,Parking below Talybont Reservoir Dam LD3 7YS,Wales,Wales,19.0,1372,51.880345 -3.303096,http://fellrunner.org.uk/races.php?id=5701 
Sun 5th Aug 2018 at 11:00,05/08 Round Hill,14.1km / 8.8m,335m / 1099ft,Timble village crossroads Otley,England,York. Dales,8.8,335,Timble village crossroads Otley,http://fellrunner.org.uk/races.php?id=5555 
Sun 5th Aug 2018 at 11:00,05/08 Saddleworth Round,26.5km / 16.5m,1000m / 3281ft,Cross Keys Inn Uppermill OL3 6LW,England,South/West Pennines,16.5,1000,Cross Keys Inn Uppermill OL3 6LW,http://fellrunner.org.uk/races.php?id=5660 
Sun 5th Aug 2018 at 12:00,05/08 Farlton Knott ( B O F R A ),7.2km / 4.5m,457m / 1499ft,On A6070 1 miles from M6 J36 Kendal LA6 1PB,England,Lake District,4.5,457,On A6070 1 miles from M6 J36 Kendal LA6 1PB,http://fellrunner.org.uk/races.php?id=5506 
Sun 5th Aug 2018,05/08 Arenig Fawr,13km / 8.1m,1000m / 3281ft,Arenig Quarry SH 830393,Wales,Wales,8.1,1000,Arenig Quarry SH 830393,http://fellrunner.org.uk/races.php?id=5361 
Tue 7th Aug 2018 at 18:30,07/08 Parwich Junior,Unknown,Unknown,Children's playground opposite Sycamore pub Parwich Derbys,England,Peak District,0.0,0,Children's playground opposite Sycamore pub Parwich Derbys,http://fellrunner.org.uk/races.php?id=5897 
Tue 7th Aug 2018 at 19:15,07/08 Ravenscar Rumble,7.5km / 4.7m,240m / 787ft,Ravenscar Visitor Centre YO13 0NE,England,North York Moors,4.7,240,54.400457 -0.491936,http://fellrunner.org.uk/races.php?id=5840 
Tue 7th Aug 2018 at 19:30,07/08 Bradwell,6km / 3.7m,230m / 755ft,Opposite Samuel Fox Inn Bradwell,England,Peak District,3.7,230,Opposite Samuel Fox Inn Bradwell,http://fellrunner.org.uk/races.php?id=5457 
Tue 7th Aug 2018 at 19:30,07/08 Crow Hill Reverse - Cancelled,8km / 5m,305m / 1001ft,Dusty Miller Pub Burnley Rd Mytholmroyd HX7 5LH,England,South/West Pennines,5.0,305,Dusty Miller Pub Burnley Rd Mytholmroyd HX7 5LH,http://fellrunner.org.uk/races.php?id=5884 
Tue 7th Aug 2018 at 19:30,07/08 Parwich Panoramic Five,8.5km / 5.3m,200m / 656ft,Sycamore Inn Parwich Ashbourne Derbys DE6 1QA,England,Peak District,5.3,200,Sycamore Inn Parwich Ashbourne Derbys DE6 1QA,http://fellrunner.org.uk/races.php?id=5396 
Wed 8th Aug 2018 at 19:15,08/08 Pilgrims Cross,9.7km / 6m,336m / 1102ft,Sunnybank Social Club Hemshore Rd Helmshore Rossendale BB4 4LQ,England,South/West Pennines,6.0,336,Sunnybank Social Club Hemshore Rd Helmshore Rossendale BB4 4LQ,http://fellrunner.org.uk/races.php?id=5543 
Wed 8th Aug 2018 at 19:15,08/08 Steel Fell,5km / 3.1m,400m / 1312ft,Steel End Farm Thirlmere,England,Lake District,3.1,400,Steel End Farm Thirlmere,http://fellrunner.org.uk/races.php?id=5816 
Wed 8th Aug 2018 at 19:30,08/08 Eccles Pike,5.4km / 3.4m,305m / 1001ft,Navigation Inn Bugsworth Canal Basin Buxworth SK23 7NE,England,Peak District,3.4,305,Navigation Inn Bugsworth Canal Basin Buxworth SK23 7NE,http://fellrunner.org.uk/races.php?id=5572 
Thu 9th Aug 2018 at 13:00,09/08 Appleby Show Murton Pike,10km / 6.2m,520m / 1706ft,Appleby Showfield CA16 6LP,England,York. Dales,6.2,520,54.568116 -2.443863,http://fellrunner.org.uk/races.php?id=5651 
