Sun 2nd Dec 2018 at 11:00,02/12 Angus Tait Hexhamshire Hobble,16.8km / 10.4m,379m / 1243ft,Allendale Primary School Allendale Northumberland NE47 9PS,England,Northumberland / Durham,10.4,379,54.898479 -2.249463,http://fellrunner.org.uk/races.php?id=5841 
Sun 2nd Dec 2018 at 11:00,02/12 Bill Fox Gravy Pud Race,8km / 5m,305m / 1001ft,Bulls Head Tintwistle SK13 1JY,England,Peak District,5.0,305,Bulls Head Tintwistle SK13 1JY,http://fellrunner.org.uk/races.php?id=5370 
Sun 2nd Dec 2018 at 11:00,02/12 Cardington Cracker,14.5km / 9m,793m / 2602ft,Cardington Village Hall Cardington Church Stretton SY6 7JZ,England,Shropshire/Welsh Borders,9.0,793,Cardington Village Hall Cardington Church Stretton SY6 7JZ,http://fellrunner.org.uk/races.php?id=5855 
Fri 7th Dec 2018 at 19:00,07/12 Exodus Ultra Marathon,160km / 99.4m,7100m / 23294ft,LLangadog Wales,Wales,Wales,99.4,7100,LLangadog Wales,http://fellrunner.org.uk/races.php?id=5977 
Sat 8th Dec 2018 at 13:00,08/12 Eary Beg,4.5km / 2.8m,150m / 492ft,Eairy Beg Plantation Glen Helen,England,Isle of Man,2.8,150,Eairy Beg Plantation Glen Helen,http://fellrunner.org.uk/races.php?id=5636 
Sun 9th Dec 2018 at 09:00,09/12 Peak Raid Round 4 - 3 Hour,Unknown,Unknown,Peak District exact location 1 month beforehand,England,Peak District,0.0,0,Peak District exact location 1 month beforehand,http://fellrunner.org.uk/races.php?id=5767 
Sun 9th Dec 2018 at 10:30,09/12 Eskdale Eureka,14.3km / 8.9m,470m / 1542ft,Eskdale Inn Castleton N Yorks YO21 2EU,England,North York Moors,8.9,470,54.462834 -0.950941,http://fellrunner.org.uk/races.php?id=5799 
Sun 9th Dec 2018 at 11:00,09/12 Litton Christmas Cracker,12.2km / 7.6m,360m / 1181ft,Litton Village Hall SK17 8QX,England,Peak District,7.6,360,53.273555 -1.757035,http://fellrunner.org.uk/races.php?id=5405 
Sun 9th Dec 2018 at 11:00,09/12 Shittern Santa Saunter,8km / 5m,350m / 1148ft,Howard Town Brewery Glossop SK13 7SS,England,Peak District,5.0,350,Howard Town Brewery Glossop SK13 7SS,http://fellrunner.org.uk/races.php?id=5649 
Sun 9th Dec 2018 at 11:00,09/12 Simonside Cairns,17.7km / 11m,540m / 1772ft,Newcastle Hotel Rothbury Northumberland,England,Northumberland / Durham,11.0,540,Newcastle Hotel Rothbury Northumberland,http://fellrunner.org.uk/races.php?id=5444 
Sun 9th Dec 2018 at 11:00,09/12 Vocation Mytholmroyd,10km / 6.2m,411m / 1348ft,Caldene Ave Mytholmroyd Halifax HX7 5AF,England,South/West Pennines,6.2,411,Caldene Ave Mytholmroyd Halifax HX7 5AF,http://fellrunner.org.uk/races.php?id=5876 
Sun 16th Dec 2018 at 10:30,16/12 Stoop Junior Curly Wurly Races,Unknown,Unknown,Penistone Hill Country Park Haworth Keighley,England,South/West Pennines,0.0,0,Penistone Hill Country Park Haworth Keighley,http://fellrunner.org.uk/races.php?id=5778 
Sun 16th Dec 2018 at 11:30,16/12 Stoop,8km / 5m,250m / 820ft,Penistone Hill Country Park Haworth Keighley,England,South/West Pennines,5.0,250,Penistone Hill Country Park Haworth Keighley,http://fellrunner.org.uk/races.php?id=5779 
Wed 26th Dec 2018 at 11:00,26/12 Totley Two Turtle Doves,7.75km / 4.8m,250m / 820ft,Totley AC Pavillion S17 3AZ,England,Peak District,4.8,250,53.315195 -1.548159,http://fellrunner.org.uk/races.php?id=5889 
Wed 26th Dec 2018 at 11:30,26/12 Whinberry Naze,6.4km / 4m,229m / 751ft,Marl Pits Sports Centre Newchurch Road Rawtenstall,England,South/West Pennines,4.0,229,Marl Pits Sports Centre Newchurch Road Rawtenstall,http://fellrunner.org.uk/races.php?id=5748 
Thu 27th Dec 2018 at 11:00,27/12 Guisborough Woods,8.8km / 5.5m,376m / 1234ft,Guisborough Rugby Club Guisborough N Yorks,England,North York Moors,5.5,376,Guisborough Rugby Club Guisborough N Yorks,http://fellrunner.org.uk/races.php?id=5705 
Mon 31st Dec 2018 at 10:00,31/12 Bowstones,11km / 6.8m,325m / 1066ft,St Martin's Church Hall Higher Poynton Stockport Cheshire,England,Peak District,6.8,325,53.346578 -2.087082,http://fellrunner.org.uk/races.php?id=5694 
Mon 31st Dec 2018 at 11:30,31/12 Daleside Brewery Auld Lang Syne,9.6km / 6m,300m / 984ft,Penistone Hill Country Park Haworth Keighley,England,South/West Pennines,6.0,300,Penistone Hill Country Park Haworth Keighley,http://fellrunner.org.uk/races.php?id=5620 
