Sat 3rd Feb 2018 at 10:00,03/02 Bernard Pierce Wadsworth Trog,31km / 19.3m,1110m / 3642ft,Old Town Cricket Club Old Town Mill Lane Hebden Bridge HX7 8SW,England,South/West Pennines,19.3,1110,53.752881 -2.004514,http://fellrunner.org.uk/races.php?id=5717 
Sat 3rd Feb 2018 at 11:45,03/02 Titterstone Clee,4.1km / 2.5m,229m / 751ft,Cleeton St Mary DY14 0QU,England,Shropshire/Welsh Borders,2.5,229,Cleeton St Mary DY14 0QU,http://fellrunner.org.uk/races.php?id=5568 
Sun 4th Feb 2018 at 10:00,04/02 Charnwood Hills,21.5km / 13.4m,366m / 1201ft,Martin High School Link Road Anstey Leicester LE7 7EB,England,Midlands,13.4,366,Martin High School Link Road Anstey Leicester LE7 7EB,http://fellrunner.org.uk/races.php?id=5591 
Sun 4th Feb 2018 at 10:30,04/02 Mickleden Straddle,23km / 14.3m,741m / 2431ft,Langsett Barn S36 4GY on A616,England,Peak District,14.3,741,Langsett Barn S36 4GY on A616,http://fellrunner.org.uk/races.php?id=5502 
Sun 4th Feb 2018 at 11:30,04/02 Long Mynd Valleys,18.5km / 11.5m,1372m / 4501ft,The Pavilion Cafe Carding Mill Valley Church Stretton SY6 6JG,England,Shropshire/Welsh Borders,11.5,1372,The Pavilion Cafe Carding Mill Valley Church Stretton SY6 6JG,http://fellrunner.org.uk/races.php?id=5565 
Sun 4th Feb 2018 at 13:00,04/02 Birkrigg Common,5km / 3.1m,170m / 558ft,Birkrigg Common Ulverston,England,Lake District,3.1,170,Birkrigg Common Ulverston,http://fellrunner.org.uk/races.php?id=5959 
Sun 4th Feb 2018,04/02 Kong Mini Mm Round 1,Unknown,Unknown,N Wales exact location tbc 1 month before event,Wales,Wales,0.0,0,N Wales exact location tbc 1 month before event,http://fellrunner.org.uk/races.php?id=5449 
Sat 10th Feb 2018 at 10:00,10/02 Winter Half Tour Of Bradwell,25km / 15.5m,970m / 3182ft,Bradwell Sports Club S33 9ST Enter opposite Samuel Fox pub,England,Peak District,15.5,970,53.332841 -1.738678,http://fellrunner.org.uk/races.php?id=5901 
Sat 10th Feb 2018 at 11:30,10/02 Windy Hill,14.5km / 9m,390m / 1280ft,Littleborough Rugby Club Rakewood Rd Littleborough OL15 0AP (nr campsite behind Hollingworth Lake),England,South/West Pennines,9.0,390,Littleborough Rugby Club Rakewood Rd Littleborough OL15 0AP (nr campsite behind Hollingworth Lake),http://fellrunner.org.uk/races.php?id=5519 
Sat 10th Feb 2018,10/02 Carnethy 5,10km / 6.2m,760m / 2493ft,Silverburn Penicuik Edinburgh,Scotland,Scotland,6.2,760,Silverburn Penicuik Edinburgh,http://fellrunner.org.uk/races.php?id=5500 
Sun 11th Feb 2018 at 09:30,11/02 Sidmouth 4 Trigs Challenge,26km / 16.2m,914m / 2999ft,Sidmouth Sailing Club,England,South West,16.2,914,50.678806 -3.234144,http://fellrunner.org.uk/races.php?id=5395 
Sun 11th Feb 2018 at 10:00,11/02 Bradda,24km / 14.9m,950m / 3117ft,Bradda Glen Cafe,England,Isle of Man,14.9,950,Bradda Glen Cafe,http://fellrunner.org.uk/races.php?id=5791 
Sun 11th Feb 2018 at 13:00,11/02 Barbondale,3.2km / 2m,358m / 1175ft,Barbondale Cumbria,England,Lake District,2.0,358,54.239743 -2.529320,http://fellrunner.org.uk/races.php?id=5958 
Sun 11th Feb 2018,11/02 Mercia Hill Trial,Unknown,Unknown,TBC 1 month before event: South Shropshire,England,Shropshire/Welsh Borders,0.0,0,TBC 1 month before event: South Shropshire,http://fellrunner.org.uk/races.php?id=5923 
Sat 17th Feb 2018 at 11:30,17/02 Flower Scar,13.3km / 8.3m,660m / 2165ft,Todmorden Cricket Club Burnley Road Todmorden OL14 7BS,England,South/West Pennines,8.3,660,Todmorden Cricket Club Burnley Road Todmorden OL14 7BS,http://fellrunner.org.uk/races.php?id=5492 
Sat 17th Feb 2018 at 13:00,17/02 Bleasdale Circle,8km / 5m,381m / 1250ft,Bleasdale Parish Hall PR3 1UY,England,Bowland/NW Lancs.,5.0,381,53.902116 -2.649839,http://fellrunner.org.uk/races.php?id=5601 
Sun 18th Feb 2018 at 09:30,18/02 New Chew,Unknown,Unknown,Dovestones Sailing Club Greenfield Saddleworth,England,Peak District,0.0,0,53.526379 -1.981858,http://fellrunner.org.uk/races.php?id=5720 
Sun 18th Feb 2018 at 11:00,18/02 Stybarrow Dodd  Kong Winter Series 4,6.5km / 4m,700m / 2297ft,Thirlmere Recreation Hall,England,Lake District,4.0,700,Thirlmere Recreation Hall,http://fellrunner.org.uk/races.php?id=5479 
Sun 18th Feb 2018 at 11:30,18/02 Ilkley Moor,8km / 5m,401m / 1316ft,Wells Rd Ilkley LS29 9RF,England,York. Dales,5.0,401,Wells Rd Ilkley LS29 9RF,http://fellrunner.org.uk/races.php?id=5514 
Sun 18th Feb 2018 at 13:00,18/02 Longsleddale,7.7km / 4.8m,480m / 1575ft,Docker Nook Farm Longsleddale,England,Lake District,4.8,480,Docker Nook Farm Longsleddale,http://fellrunner.org.uk/races.php?id=5964 
Fri 23rd Feb 2018 at 19:30,23/02 Mr Sparkle's Dark 'un,8.1km / 5m,214m / 702ft,Royal Hotel Tockholes Darwen BB3 0PA,England,South/West Pennines,5.0,214,Royal Hotel Tockholes Darwen BB3 0PA,http://fellrunner.org.uk/races.php?id=5662 
Sat 24th Feb 2018 at 11:00,24/02 Midgley Moor,8km / 5m,381m / 1250ft,Booth Cricket Club Booth Halifax,England,South/West Pennines,5.0,381,53.740283 -1.940837,http://fellrunner.org.uk/races.php?id=5737 
Sat 24th Feb 2018 at 14:00,24/02 Inov-8 High Cup Nick,15km / 9.3m,460m / 1509ft,Dufton Village Hall CA16 6DB,England,North Pennines,9.3,460,Dufton Village Hall CA16 6DB,http://fellrunner.org.uk/races.php?id=5619 
Sun 25th Feb 2018 at 10:00,25/02 Clwydian Sheeptracks,28km / 17.4m,1400m / 4593ft,Viewpoint carpark above Cilcain,Wales,Wales,17.4,1400,53.177406 -3.244807,http://fellrunner.org.uk/races.php?id=5903 
Sun 25th Feb 2018 at 11:00,25/02 Heartbeat Hobble,11km / 6.8m,260m / 853ft,Mallyan Spout Hotel Goathland Village Whitby,England,North York Moors,6.8,260,54.394199 -0.729361,http://fellrunner.org.uk/races.php?id=5710 
Sun 25th Feb 2018 at 11:00,25/02 Hope Winter,9.5km / 5.9m,451m / 1480ft,Hope Sportsfield Castleton Rd Hope S33 6RD,England,Peak District,5.9,451,53.348148 -1.750602,http://fellrunner.org.uk/races.php?id=5868 
Sun 25th Feb 2018 at 11:30,25/02 Hoppits Hill,5.6km / 3.5m,250m / 820ft,Lower Hopton Cricket Club,England,Peak District,3.5,250,53.662571 -1.679144,http://fellrunner.org.uk/races.php?id=5645 
