Date, Race, Distance, Ascent, Venue, Country, Region, Distance (mil), Climb (m), Gmap, Web
Mon 1st Jan 2018 at 11:00,01/01 Captain Cook's Races,8km / 5m,318m / 1043ft,Royal Oak Hotel Great Ayton N Yorks,England,North York Moors,5.0,318,Royal Oak Hotel Great Ayton N Yorks,http://fellrunner.org.uk/races.php?id=5695 
Mon 1st Jan 2018 at 12:00,01/01 Giant's Tooth,4.8km / 3m,120m / 394ft,Causeway Foot Inn on A629 Halifax-Keighley Rd HX2 8XX,England,South/West Pennines,3.0,120,Causeway Foot Inn on A629 Halifax-Keighley Rd HX2 8XX,http://fellrunner.org.uk/races.php?id=5739 
Mon 1st Jan 2018 at 12:00,01/01 Nine Standards,12.9km / 8m,549m / 1801ft,Market Square Kirkby Stephen,England,North Pennines,8.0,549,Market Square Kirkby Stephen,http://fellrunner.org.uk/races.php?id=5397 
Mon 1st Jan 2018 at 13:30,01/01 St Johns,5km / 3.1m,275m / 902ft,St Johns Football Club IOM,England,Isle of Man,3.1,275,St Johns Football Club IOM,http://fellrunner.org.uk/races.php?id=5570 
Sun 7th Jan 2018 at 13:00,07/01 Scout Scar,8km / 5m,150m / 492ft,Scout Scar Brigsteer Rd  Kendal,England,Lake District,5.0,150,Scout Scar Brigsteer Rd  Kendal,http://fellrunner.org.uk/races.php?id=5957 
Sun 7th Jan 2018 at 13:00,07/01 Yha King Of The Castle,2.5km / 1.6m,200m / 656ft,YHA Borrowdale Rosthwaite CA12 5XE,England,Lake District,1.6,200,54.518489 -3.153944,http://fellrunner.org.uk/races.php?id=5539 
Sat 13th Jan 2018 at 12:30,13/01 Ashurst Beacon,9.5km / 5.9m,290m / 951ft,Prince William Inn Dalton Skelmersdale WN8 7RU,England,South/West Pennines,5.9,290,Prince William Inn Dalton Skelmersdale WN8 7RU,http://fellrunner.org.uk/races.php?id=5751 
Sun 14th Jan 2018 at 08:30,14/01 Trigger,33km / 20.5m,1650m / 5413ft,Marsden Cricket Club HD7 6NN,England,Peak District,20.5,1650,53.591975 -1.934997,http://fellrunner.org.uk/races.php?id=5490 
Sun 14th Jan 2018 at 10:30,14/01 Commondale Clart,8.3km / 5.2m,220m / 722ft,Cleveland Inn Commondale Guisborough,England,North York Moors,5.2,220,Cleveland Inn Commondale Guisborough,http://fellrunner.org.uk/races.php?id=5946 
Sun 14th Jan 2018 at 10:30,14/01 Soreen Stanbury Juniors,Unknown,Unknown,Penistone Hill Country Park Haworth Keighley,England,South/West Pennines,0.0,0,Penistone Hill Country Park Haworth Keighley,http://fellrunner.org.uk/races.php?id=5700 
Sun 14th Jan 2018 at 11:00,14/01 Cannock Chase Trig Points,27km / 16.8m,500m / 1640ft,Milford Hall Cricket Club Main Road Milford ST17 0UL,England,Midlands,16.8,500,Milford Hall Cricket Club Main Road Milford ST17 0UL,http://fellrunner.org.uk/races.php?id=5575 
Sun 14th Jan 2018 at 11:00,14/01 Clough Head  Kong Winter Series 3,7.3km / 4.5m,570m / 1870ft,Kong Workshop Threlkeld Quarry Threlkeld Keswick CA12 4TT,England,Lake District,4.5,570,Kong Workshop Threlkeld Quarry Threlkeld Keswick CA12 4TT,http://fellrunner.org.uk/races.php?id=5478 
Sun 14th Jan 2018 at 11:30,14/01 Soreen Stanbury Splash,12km / 7.5m,400m / 1312ft,Penistone Hill Country Park Haworth Keighley,England,South/West Pennines,7.5,400,Penistone Hill Country Park Haworth Keighley,http://fellrunner.org.uk/races.php?id=5699 
Sat 20th Jan 2018 at 11:00,20/01 Box Hill,12km / 7.5m,530m / 1739ft,Stepping Stones pub West Humble Street West Humble RH5 6BS,England,South East,7.5,530,51.252472 -0.324854,http://fellrunner.org.uk/races.php?id=5950 
Sat 20th Jan 2018 at 14:00,20/01 Craig Yr Allt Winter,6.3km / 3.9m,215m / 705ft,Mountain View Ranch CF83 1NG,Wales,Wales,3.9,215,51.552840 -3.238905,http://fellrunner.org.uk/races.php?id=5378 
Sat 20th Jan 2018,20/01 'the Rucksack Club' Kinder Trial,18km / 11.2m,650m / 2133ft,Hayfield Scout Hut Swallow House Lane Hayfield SK22 2HF,England,Peak District,11.2,650,53.382553 -1.948845,http://fellrunner.org.uk/races.php?id=5425 
Sun 21st Jan 2018 at 13:00,21/01 Giggleswick School,6.2km / 3.9m,135m / 443ft,Giggleswick School Giggleswick Settle BD24 0DE,England,Lake District,3.9,135,Giggleswick School Giggleswick Settle BD24 0DE,http://fellrunner.org.uk/races.php?id=5960 
Sat 27th Jan 2018 at 11:00,27/01 Hoofstones,12.9km / 8m,425m / 1394ft,Staff of Life pub Burnley Rd Todmorden OL14 8JF,England,South/West Pennines,8.0,425,Staff of Life pub Burnley Rd Todmorden OL14 8JF,http://fellrunner.org.uk/races.php?id=5712 
Sat 27th Jan 2018 at 12:00,27/01 Blakes Heaven,7.3km / 4.5m,540m / 1772ft,The Green Lamplugh West Cumbria,England,Lake District,4.5,540,The Green Lamplugh West Cumbria,http://fellrunner.org.uk/races.php?id=5529 
Sat 27th Jan 2018 at 13:30,27/01 Ard Whallin,12km / 7.5m,750m / 2461ft,Ard Whallin Outdoor Centre Baldwin IOM,England,Isle of Man,7.5,750,Ard Whallin Outdoor Centre Baldwin IOM,http://fellrunner.org.uk/races.php?id=5793 
Sat 27th Jan 2018 at 18:00,27/01 Wild Night Run,16km / 9.9m,362m / 1188ft,South Brent Village Hall TQ10 9AQ,England,South West,9.9,362,South Brent Village Hall TQ10 9AQ,http://fellrunner.org.uk/races.php?id=5943 
Sat 27th Jan 2018,27/01 Tarrenhendre,9.7km / 6m,610m / 2001ft,Abergynolwyn Village Hall LL36 9UU,Wales,Wales,6.0,610,52.643699 -3.955328,http://fellrunner.org.uk/races.php?id=5394 
Sun 28th Jan 2018 at 10:00,28/01 Tigger Tor,15.5km / 9.6m,514m / 1686ft,Sheffield Tigers RUFC S17 3AB,England,Peak District,9.6,514,Sheffield Tigers RUFC S17 3AB,http://fellrunner.org.uk/races.php?id=5538 
Sun 28th Jan 2018 at 13:00,28/01 Whitestone,6.4km / 4m,155m / 509ft,Staveley-in-Cartmel Newby Bridge,England,Lake District,4.0,155,Staveley-in-Cartmel Newby Bridge,http://fellrunner.org.uk/races.php?id=5962 
