Date, Race, Distance, Ascent, Venue, Country, Region, Distance (mil), Climb (m), Gmap, Web
Sun 1st Jul 2018 at 11:00,01/07 Callow,8km / 5m,760m / 2493ft,Ragleth Inn  SY6 6RE,England,Shropshire/Welsh Borders,5.0,760,Ragleth Inn  SY6 6RE,http://fellrunner.org.uk/races.php?id=5605 
Sun 1st Jul 2018 at 11:00,01/07 Great Bakewell Pudding Race,10.4km / 6.5m,200m / 656ft,Recreation Ground Bakewell DE45 1EP,England,Peak District,6.5,200,Recreation Ground Bakewell DE45 1EP,http://fellrunner.org.uk/races.php?id=5913 
Sun 1st Jul 2018 at 11:00,01/07 Great Hucklow,10km / 6.2m,340m / 1115ft,Great Hucklow Primary School SK17 8RG,England,Peak District,6.2,340,53.300473 -1.734375,http://fellrunner.org.uk/races.php?id=5676 
Sun 1st Jul 2018 at 12:30,01/07 Skiddaw,15.4km / 9.6m,960m / 3150ft,Keswick Football Club Lower Fitz Park Keswick,England,Lake District,9.6,960,54.604920 -3.137811,http://fellrunner.org.uk/races.php?id=5499 
Sun 1st Jul 2018 at 14:30,01/07 Bampton Sports Day,8.8km / 5.5m,244m / 801ft,Bampton Village Hall Haweswater,England,Lake District,5.5,244,Bampton Village Hall Haweswater,http://fellrunner.org.uk/races.php?id=5454 
Sun 1st Jul 2018 at 14:30,01/07 Langley Fete,4.5km / 2.8m,198m / 650ft,Langley Village playing field,England,Peak District,2.8,198,53.242309 -2.088365,http://fellrunner.org.uk/races.php?id=5708 
Sun 1st Jul 2018 at 15:55,01/07 Langdale Gala,1.9km / 1.2m,178m / 584ft,Wallthwaite Meadow Chapel Stile Ambleside,England,Lake District,1.2,178,Wallthwaite Meadow Chapel Stile Ambleside,http://fellrunner.org.uk/races.php?id=5853 
Mon 2nd Jul 2018 at 18:45,02/07 Trunce 6,6.4km / 4m,170m / 558ft,Oxspring Playing Field Oxspring Sheffield,England,Peak District,4.0,170,53.506807 -1.591361,http://fellrunner.org.uk/races.php?id=5430 
Tue 3rd Jul 2018 at 19:00,03/07 20 Barriers,8km / 5m,160m / 525ft,Carnforth High School Kellet Rd Carnforth LA5 9LS,England,Bowland/NW Lancs.,5.0,160,Carnforth High School Kellet Rd Carnforth LA5 9LS,http://fellrunner.org.uk/races.php?id=5985 
Tue 3rd Jul 2018 at 19:15,03/07 Danefield Relay,Unknown,Unknown,Danefield Park East Chevin Rd Otley,England,York. Dales,0.0,0,53.893542 -1.671294,http://fellrunner.org.uk/races.php?id=5638 
Tue 3rd Jul 2018 at 19:30,03/07 Saltwell Harriers,9km / 5.6m,300m / 984ft,On B6278 two miles north of Stanhope Co Durham,England,Northumberland / Durham,5.6,300,On B6278 two miles north of Stanhope Co Durham,http://fellrunner.org.uk/races.php?id=5718 
