Date, Race, Distance, Ascent, Venue, Country, Region, Distance (mil), Climb (m), Gmap, Web
Fri 1st Jun 2018,01/06 L A M M - Connoisseurs Mountain Marathon,Unknown,Unknown,Scottish Highlands,Scotland,Scotland,0.0,0,Scottish Highlands,http://fellrunner.org.uk/races.php?id=5917 
Sat 2nd Jun 2018 at 10:30,02/06 Kelbrook,5.5km / 3.4m,213m / 699ft,Meadow Kelbrook Village,England,South/West Pennines,3.4,213,53.898391 -2.149104,http://fellrunner.org.uk/races.php?id=5648 
Sat 2nd Jun 2018 at 11:00,02/06 Duddon Valley,29km / 18m,1830m / 6004ft,Newfield Inn Seathwaite Duddon Valley Cumbria,England,Lake District,18.0,1830,Newfield Inn Seathwaite Duddon Valley Cumbria,http://fellrunner.org.uk/races.php?id=5588 
Sat 2nd Jun 2018 at 11:00,02/06 Wharfedale Trail 1/2 Marathon,21km / 13m,590m / 1936ft,Wharfedale Rugby Club Threshfield Skipton BD23 5BS,England,York. Dales,13.0,590,Wharfedale Rugby Club Threshfield Skipton BD23 5BS,http://fellrunner.org.uk/races.php?id=5439 
Sat 2nd Jun 2018 at 14:45,02/06 Wincle Trout,9.5km / 5.9m,320m / 1050ft,Mellor Knowl SK11 0QE,England,Peak District,5.9,320,53.186597 -2.059817,http://fellrunner.org.uk/races.php?id=5762 
Sat 2nd Jun 2018 at 15:00,02/06 Pen Y Ghent,10.5km / 6.5m,564m / 1850ft,Horton in Ribblesdale playing field,England,York. Dales,6.5,564,Horton in Ribblesdale playing field,http://fellrunner.org.uk/races.php?id=5711 
Sat 2nd Jun 2018,02/06 Welsh 1000m Peaks,32km / 19.9m,2440m / 8005ft,Abergwyngregyn LL33 SH653728,Wales,Wales,19.9,2440,53.235114 -4.019643,http://fellrunner.org.uk/races.php?id=5938 
Sun 3rd Jun 2018 at 10:30,03/06 Edenfield,10.3km / 6.4m,477m / 1565ft,Edenfield Cricket Club Gincroft Lane BL0 0JW,England,South/West Pennines,6.4,477,Edenfield Cricket Club Gincroft Lane BL0 0JW,http://fellrunner.org.uk/races.php?id=5590 
Sun 3rd Jun 2018 at 10:30,03/06 Surrey Hills Race A,30km / 18.6m,800m / 2625ft,Nower Recreation Ground Dorking Surrey,England,South East,18.6,800,51.224813 -0.340180,http://fellrunner.org.uk/races.php?id=5696 
Sun 3rd Jun 2018 at 10:30,03/06 Surrey Hills Race B,16km / 9.9m,400m / 1312ft,Nower Recreation Ground Dorking Surrey,England,South East,9.9,400,51.224813 -0.340180,http://fellrunner.org.uk/races.php?id=5697 
Sun 3rd Jun 2018 at 10:30,03/06 Surrey Hills Race C,10km / 6.2m,200m / 656ft,Nower Recreation Ground Dorking Surrey,England,South East,6.2,200,51.224813 -0.340180,http://fellrunner.org.uk/races.php?id=5698 
Sun 3rd Jun 2018 at 12:00,03/06 Coniston Gullies ( B O F R A ),2km / 1.2m,350m / 1148ft,John Ruskin School Coniston LA21 8EW,England,Lake District,1.2,350,John Ruskin School Coniston LA21 8EW,http://fellrunner.org.uk/races.php?id=5624 
Sun 3rd Jun 2018 at 13:00,03/06 Yetholm,12.8km / 8m,762m / 2500ft,Halterburn Kirk Yetholm,Scotland,Scotland,8.0,762,55.541855 -2.251939,http://fellrunner.org.uk/races.php?id=5802 
Sun 3rd Jun 2018,03/06 Yomp Mountain Challenge,37km / 23m,1326m / 4350ft,Kirby Stephen Grammar School Kirby Stephen CA17 4HA,England,York. Dales,23.0,1326,Kirby Stephen Grammar School Kirby Stephen CA17 4HA,http://fellrunner.org.uk/races.php?id=5873 
Tue 5th Jun 2018 at 19:15,05/06 Paddy's Pole,6km / 3.7m,336m / 1102ft,Fell Foot Chipping Lancs PR3 2NP,England,Bowland/NW Lancs.,3.7,336,Fell Foot Chipping Lancs PR3 2NP,http://fellrunner.org.uk/races.php?id=5574 
