Date, Race, Distance, Ascent, Venue, Country, Region, Distance (mil), Climb (m), Gmap, Web
Fri 2nd Mar 2018 at 23:00,02/03 High Peak Marathon,67km / 41.6m,1645m / 5397ft,Edale Village Hall,England,Peak District,41.6,1645,53.364444 -1.815124,http://fellrunner.org.uk/races.php?id=5613 
Sat 3rd Mar 2018 at 11:00,03/03 Stan Bradshaw Pendle Round,16.7km / 10.4m,590m / 1936ft,Barley Burnley,England,South/West Pennines,10.4,590,53.858632 -2.270590,http://fellrunner.org.uk/races.php?id=5418 
Sat 3rd Mar 2018 at 13:00,03/03 Jarrett's Jaunt,7.2km / 4.5m,457m / 1499ft,Wath Brow Bridge West Cumbria,England,Lake District,4.5,457,Wath Brow Bridge West Cumbria,http://fellrunner.org.uk/races.php?id=5924 
Sat 3rd Mar 2018,03/03 Pipe Dream,8.2km / 5.1m,518m / 1699ft,Dolgarrog Community Centre LL32 8JU  SH769676,Wales,Wales,5.1,518,53.191213 -3.843937,http://fellrunner.org.uk/races.php?id=5384 
Sun 4th Mar 2018 at 10:30,04/03 Glaisdale Rigg,13.7km / 8.5m,562m / 1844ft,Arnecliffe Arms Glaisdale Castleton Whitby,England,North York Moors,8.5,562,Arnecliffe Arms Glaisdale Castleton Whitby,http://fellrunner.org.uk/races.php?id=5534 
Sun 4th Mar 2018 at 11:00,04/03 Cloud Nine,14.5km / 9m,381m / 1250ft,Brunswick Wharf Congleton CW12 1RG,England,Peak District,9.0,381,53.167560 -2.203393,http://fellrunner.org.uk/races.php?id=5402 
Sun 4th Mar 2018 at 11:00,04/03 Loopy Latrigg  Kong Winter Series 5,8km / 5m,460m / 1509ft,Fitz Park Keswick,England,Lake District,5.0,460,Fitz Park Keswick,http://fellrunner.org.uk/races.php?id=5480 
Sun 4th Mar 2018 at 11:30,04/03 Bluebell 1 - Cancelled,7.6km / 4.7m,190m / 623ft,Bluebell Inn Farnah Green Belper DE56 2UP,England,Peak District,4.7,190,Bluebell Inn Farnah Green Belper DE56 2UP,http://fellrunner.org.uk/races.php?id=5879 
Sun 4th Mar 2018 at 13:00,04/03 Cunswick Scar,8km / 5m,185m / 607ft,Boundary Bank Lane Kendal LA9 5RR,England,Lake District,5.0,185,Boundary Bank Lane Kendal LA9 5RR,http://fellrunner.org.uk/races.php?id=5976 
Fri 9th Mar 2018,09/03 F R A Navigation Course,Unknown,Unknown,Kettlewell,England,York. Dales,0.0,0,Kettlewell,http://fellrunner.org.uk/races.php?id=5368 
Sat 10th Mar 2018 at 08:00,10/03 Haworth Hobble,51km / 31.7m,1340m / 4396ft,Haworth Primary School Rawdon Road Haworth BD22 8DW,England,South/West Pennines,31.7,1340,53.831651 -1.953731,http://fellrunner.org.uk/races.php?id=5863 
Sat 10th Mar 2018 at 12:00,10/03 Black Combe,13km / 8.1m,1000m / 3281ft,Silecroft Village Hall LA18 5LP,England,Lake District,8.1,1000,54.227256 -3.331415,http://fellrunner.org.uk/races.php?id=5360 
Sat 10th Mar 2018 at 13:30,10/03 Slooby Dhoo,8km / 5m,750m / 2461ft,Ballaugh Plantation Car Park,England,Isle of Man,5.0,750,Ballaugh Plantation Car Park,http://fellrunner.org.uk/races.php?id=5631 
Sun 11th Mar 2018 at 10:30,11/03 Don Morrison Memorial Edale Skyline,34km / 21.1m,1373m / 4505ft,Edale Village Hall,England,Peak District,21.1,1373,53.372536 -1.816592,http://fellrunner.org.uk/races.php?id=5493 
Sun 11th Mar 2018 at 11:00,11/03 40th Wrekin,8.8km / 5.5m,519m / 1703ft,Ercall Wood School Golf Links Lane Wellington Telford TF1 2DT,England,Shropshire/Welsh Borders,5.5,519,52.691980 -2.514833,http://fellrunner.org.uk/races.php?id=5854 
Sun 11th Mar 2018 at 12:00,11/03 Muncaster Luck,15km / 9.3m,620m / 2034ft,Muncaster Castle car park CA18 1RD,England,Lake District,9.3,620,54.356910 -3.391006,http://fellrunner.org.uk/races.php?id=5870 
Sat 17th Mar 2018 at 14:30,17/03 Middle Fell,10.6km / 6.6m,518m / 1699ft,Strands Inn Nether Wasdale Seascale CA20 1ET,England,Lake District,6.6,518,54.423850 -3.353199,http://fellrunner.org.uk/races.php?id=5882 
Sat 17th Mar 2018,17/03 Yr Aran,16.1km / 10m,945m / 3100ft,Village Hall Llanuwchllyn Bala LL23 7NA,Wales,Wales,10.0,945,52.820609 -3.675345,http://fellrunner.org.uk/races.php?id=5389 
Sun 18th Mar 2018 at 11:00,18/03 Ian Roberts Memorial,10.3km / 6.4m,260m / 853ft,Marsden Cricket Club Marsden HD7 6NN,England,South/West Pennines,6.4,260,Marsden Cricket Club Marsden HD7 6NN,http://fellrunner.org.uk/races.php?id=5580 
