Date, Race, Distance, Ascent, Venue, Country, Region, Distance (mil), Climb (m), Gmap, Web
Tue 1st May 2018 at 19:00,01/05 Orchan Rocks,5.4km / 3.4m,280m / 919ft,Staff of Life pub 550 Burnley Rd Todmorden OL14 8JF,England,South/West Pennines,3.4,280,Staff of Life pub 550 Burnley Rd Todmorden OL14 8JF,http://fellrunner.org.uk/races.php?id=5713 
Tue 1st May 2018 at 19:15,01/05 Pen Dinas,3.5km / 2.2m,446m / 1463ft,Vaynol Arms Nant Peris,Wales,Wales,2.2,446,Vaynol Arms Nant Peris,http://fellrunner.org.uk/races.php?id=5482 
Wed 2nd May 2018 at 19:00,02/05 Tiger's Todger,8.75km / 5.4m,207m / 679ft,Sheffield Tigers RUFC S17 3AB,England,Peak District,5.4,207,Sheffield Tigers RUFC S17 3AB,http://fellrunner.org.uk/races.php?id=5441 
Wed 2nd May 2018 at 19:15,02/05 Gribdale Growler,11.6km / 7.2m,585m / 1919ft,Gribdale car park Gt Ayton N Yorks,England,North York Moors,7.2,585,54.491791 -1.086056,http://fellrunner.org.uk/races.php?id=5795 
Wed 2nd May 2018 at 19:30,02/05 Lothersdale,5.8km / 3.6m,180m / 591ft,Village Hall Lothersdale Skipton,England,South/West Pennines,3.6,180,53.910152 -2.062379,http://fellrunner.org.uk/races.php?id=5869 
Thu 3rd May 2018 at 19:00,03/05 Carraghan,4km / 2.5m,300m / 984ft,East Baldwin,England,Isle of Man,2.5,300,East Baldwin,http://fellrunner.org.uk/races.php?id=5637 
Sat 5th May 2018 at 10:00,05/05 Buckden Out Moor And Back Again,8.2km / 5.1m,472m / 1549ft,Buckden Car Park BD23 5JA,England,York. Dales,5.1,472,54.192342 -2.090392,http://fellrunner.org.uk/races.php?id=5459 
Sat 5th May 2018 at 11:00,05/05 The Cake Race,16km / 9.9m,518m / 1699ft,Kiln Green Church Diggle Saddleworth OL3 5JZ,England,South/West Pennines,9.9,518,Kiln Green Church Diggle Saddleworth OL3 5JZ,http://fellrunner.org.uk/races.php?id=5541 
Sat 5th May 2018 at 12:30,05/05 Coniston,14km / 8.7m,1065m / 3494ft,Coniston Institute,England,Lake District,8.7,1065,Coniston Institute,http://fellrunner.org.uk/races.php?id=5573 
Sat 5th May 2018 at 13:00,05/05 Red Kite Challenge,21km / 13m,700m / 2297ft,Woodlands Caravan Park Devil's Bridge Aberystwyth SY23 3JW 745733,Wales,Wales,13.0,700,Woodlands Caravan Park Devil's Bridge Aberystwyth SY23 3JW 745733,http://fellrunner.org.uk/races.php?id=5704 
Sat 5th May 2018 at 13:00,05/05 Stuc A' Chroin 5000,22km / 13.7m,1524m / 5000ft,Strathyre Perthshire FK18 8NA,Scotland,Scotland,13.7,1524,56.325252 -4.328621,http://fellrunner.org.uk/races.php?id=5916 
Sat 5th May 2018 at 14:00,05/05 Bollington Festival 3 Peaks,9km / 5.6m,370m / 1214ft,Bollington Brewery Adlington Rd Bollington Ches SK10 5JT,England,Peak District,5.6,370,53.299823 -2.104991,http://fellrunner.org.uk/races.php?id=5373 
Sat 5th May 2018,05/05 Cancelled - Salcombe Coastal Marathon - Spring,42km / 26.1m,1372m / 4501ft,Torcross,England,South West,26.1,1372,50.267992 -3.652878,http://fellrunner.org.uk/races.php?id=5406 
Sat 5th May 2018,05/05 Steam Bunny Stomp,11km / 6.8m,447m / 1467ft,Mountain Rd Penyrheol Pontypool NP4 5XS,Wales,Wales,6.8,447,Mountain Rd Penyrheol Pontypool NP4 5XS,http://fellrunner.org.uk/races.php?id=5706 
Sun 6th May 2018 at 10:00,06/05 South Mynd Tour,23km / 14.3m,1270m / 4167ft,Ragleth Inn Little Stretton,England,Shropshire/Welsh Borders,14.3,1270,Ragleth Inn Little Stretton,http://fellrunner.org.uk/races.php?id=5486 
Sun 6th May 2018 at 11:30,06/05 Peat Pits Wood 2,5.5km / 3.4m,106m / 348ft,Bear Inn Sandhall Lane Alderwasley Derbyshire DE56 2RD,England,Peak District,3.4,106,Bear Inn Sandhall Lane Alderwasley Derbyshire DE56 2RD,http://fellrunner.org.uk/races.php?id=5886 
Sun 6th May 2018 at 12:00,06/05 Great Hameldon,9.6km / 6m,338m / 1109ft,Peel Park Hotel Turkey St Accrington BB5 6EW,England,South/West Pennines,6.0,338,Peel Park Hotel Turkey St Accrington BB5 6EW,http://fellrunner.org.uk/races.php?id=5921 
Sun 6th May 2018,06/05 Clough Head,7.2km / 4.5m,550m / 1804ft,Threlkeld Cricket Club CA12 4TZ,England,Lake District,4.5,550,Threlkeld Cricket Club CA12 4TZ,http://fellrunner.org.uk/races.php?id=5410 
Mon 7th May 2018 at 11:00,07/05 Coiners Junior,Unknown,Unknown,Mytholmroyd Community Centre HX7 5DY,England,South/West Pennines,0.0,0,53.729511 -1.984807,http://fellrunner.org.uk/races.php?id=5930 
Mon 7th May 2018 at 11:30,07/05 Wray Caton Moor,11km / 6.8m,335m / 1099ft,Wray Lancaster LA2 8QF,England,Bowland/NW Lancs.,6.8,335,54.101860 -2.608612,http://fellrunner.org.uk/races.php?id=5523 
Mon 7th May 2018 at 13:00,07/05 Coiners,10.8km / 6.7m,295m / 968ft,Mytholmroyd Community and Leisure Centre HX7 5AF,England,South/West Pennines,6.7,295,53.729511 -1.984807,http://fellrunner.org.uk/races.php?id=5881 
Tue 8th May 2018 at 09:00,08/05 O M M Lite South Wales,Unknown,Unknown,Forest of Dean South Wales,Wales,Wales,0.0,0,Forest of Dean South Wales,http://fellrunner.org.uk/races.php?id=5956 
Tue 8th May 2018 at 19:00,08/05 Craig Yr Allt Summer,6.3km / 3.9m,215m / 705ft,Mountain View Ranch CF83 1NG,Wales,Wales,3.9,215,51.552840 -3.238905,http://fellrunner.org.uk/races.php?id=5379 
Tue 8th May 2018 at 19:15,08/05 Jack Bloor Race,8.4km / 5.2m,350m / 1148ft,Darwin Gardens Wells Road Ilkley LS29 9JS,England,York. Dales,5.2,350,53.919027 -1.823349,http://fellrunner.org.uk/races.php?id=5785 
Tue 8th May 2018 at 19:15,08/05 Mearley Clough,5.6km / 3.5m,380m / 1247ft,Calf's Head Worston Clitheroe,England,South/West Pennines,3.5,380,Calf's Head Worston Clitheroe,http://fellrunner.org.uk/races.php?id=5496 
Tue 8th May 2018 at 19:15,08/05 Moel Y Gest,5.9km / 3.7m,349m / 1145ft,Tyddyn Llwyn Caravan site Borth y Gest Porthmadog,Wales,Wales,3.7,349,Tyddyn Llwyn Caravan site Borth y Gest Porthmadog,http://fellrunner.org.uk/races.php?id=5472 
Tue 8th May 2018 at 19:30,08/05 Burbage Skyline,9.1km / 5.7m,185m / 607ft,Fox House Inn Hathersage Road Sheffield S11 7TY,England,Peak District,5.7,185,53.318977 -1.600659,http://fellrunner.org.uk/races.php?id=5794 
Wed 9th May 2018 at 19:30,09/05 Rainow 5,8km / 5m,229m / 751ft,Rainow Institute B5470 between Macclesfield and Whaley Bridge,England,Peak District,5.0,229,Rainow Institute B5470 between Macclesfield and Whaley Bridge,http://fellrunner.org.uk/races.php?id=5657 
Wed 9th May 2018 at 19:30,09/05 Wrekin Streak,4.5km / 2.8m,247m / 810ft,Forest Glen Wellington Telford,England,Shropshire/Welsh Borders,2.8,247,Forest Glen Wellington Telford,http://fellrunner.org.uk/races.php?id=5623 
Wed 9th May 2018 at 19:30,09/05 Yr Hafod,10km / 6.2m,310m / 1017ft,Hafod Estate Pontrhydygroes 15 miles east of Aberystwyth on B4574 SY25 6DX,Wales,Wales,6.2,310,52.346603 -3.810053,http://fellrunner.org.uk/races.php?id=5703 
Thu 10th May 2018 at 19:00,10/05 Tansley Hills,8.5km / 5.3m,305m / 1001ft,Tansley Primary School DE4 5FG,England,Peak District,5.3,305,Tansley Primary School DE4 5FG,http://fellrunner.org.uk/races.php?id=5738 
Fri 11th May 2018 at 16:00,11/05 Ultra Snowdonia,165km / 102.5m,12000m / 39370ft,Llanberis,Wales,Wales,102.5,12000,Llanberis,http://fellrunner.org.uk/races.php?id=5392 
Fri 11th May 2018 at 19:30,11/05 Pinhaw,8km / 5m,213m / 699ft,Earby Cricket Club BB18 6NN,England,South/West Pennines,5.0,213,Earby Cricket Club BB18 6NN,http://fellrunner.org.uk/races.php?id=5600 
Sat 12th May 2018 at 09:00,12/05 Preseli Ultrabeast,52km / 32.3m,1850m / 6069ft,Maenclochog Green SA66 7LA,Wales,Wales,32.3,1850,51.912066 -4.788561,http://fellrunner.org.uk/races.php?id=5386 
Sat 12th May 2018 at 10:30,12/05 Preseli Beast,38km / 23.6m,1450m / 4757ft,Maenclochog Green SA66 7LA,Wales,Wales,23.6,1450,51.912066 -4.788561,http://fellrunner.org.uk/races.php?id=5385 
Sat 12th May 2018 at 10:45,12/05 Cressbrook Crawl,10.5km / 6.5m,350m / 1148ft,Cressbrook Club Cressbrook SK17 8SX,England,Peak District,6.5,350,53.254657 -1.746649,http://fellrunner.org.uk/races.php?id=5627 
Sat 12th May 2018 at 11:00,12/05 Pendle Cloughs,22.5km / 14m,1250m / 4101ft,Downham Clitheroe Lancs BB7 4BJ,England,South/West Pennines,14.0,1250,53.891746 -2.327103,http://fellrunner.org.uk/races.php?id=5419 
Sat 12th May 2018 at 12:00,12/05 Fairfield Horseshoe,14.5km / 9m,914m / 2999ft,Rydal Hall Ambleside,England,Lake District,9.0,914,54.448143 -2.977695,http://fellrunner.org.uk/races.php?id=5562 
Sat 12th May 2018 at 12:30,12/05 Beast Bach,17km / 10.6m,540m / 1772ft,Maenclochog Green SA66 7LA 083274,Wales,Wales,10.6,540,Maenclochog Green SA66 7LA 083274,http://fellrunner.org.uk/races.php?id=5362 
Sat 12th May 2018 at 14:00,12/05 Slieve Donard,10km / 6.2m,850m / 2789ft,Newcastle Main Street Northern Ireland,Northern Ireland,Northern Ireland,6.2,850,Newcastle Main Street Northern Ireland,http://fellrunner.org.uk/races.php?id=5578 
Sun 13th May 2018 at 09:00,13/05 Excalibur,42km / 26.1m,1676m / 5499ft,Coed Moel Famau Denbighshire,Wales,Wales,26.1,1676,Coed Moel Famau Denbighshire,http://fellrunner.org.uk/races.php?id=5909 
Sun 13th May 2018 at 10:00,13/05 Excalibur Half Marathon,21km / 13m,1000m / 3281ft,Coed Moel Famau Denbighshire,Wales,Wales,13.0,1000,Coed Moel Famau Denbighshire,http://fellrunner.org.uk/races.php?id=5920 
