Date, Race, Distance, Ascent, Venue, Country, Region, Distance (mil), Climb (m), Gmap, Web
Sat 6th Oct 2018 at 10:00,06/10 Curbar Commotion,16km / 9.9m,415m / 1362ft,Curbar Primary School S32 3XA,England,Peak District,9.9,415,53.261543 -1.629677,http://fellrunner.org.uk/races.php?id=5545 
Sun 7th Oct 2018 at 09:15,07/10 Hodgson Brothers Mountain Relay,40km / 24.9m,2450m / 8038ft,King George V Playing Fields Patterdale,England,Lake District,24.9,2450,King George V Playing Fields Patterdale,http://fellrunner.org.uk/races.php?id=5777 
Sun 7th Oct 2018 at 10:30,07/10 Withins Junior Curly Wurly Rat Runs,Unknown,Unknown,Penistone Hill Country Park Haworth Keighley,England,South/West Pennines,0.0,0,Penistone Hill Country Park Haworth Keighley,http://fellrunner.org.uk/races.php?id=5776 
Sun 7th Oct 2018 at 11:30,07/10 Withins Skyline,12km / 7.5m,300m / 984ft,Penistone Hill Country Park Haworth Keighley,England,South/West Pennines,7.5,300,Penistone Hill Country Park Haworth Keighley,http://fellrunner.org.uk/races.php?id=5775 
Sat 13th Oct 2018 at 10:30,13/10 Gobigmoor,20km / 12.4m,570m / 1870ft,Holmesfield Village Hall Vicarage Cross Holmesfield Dronfield S18 7WZ,England,Peak District,12.4,570,53.295315 -1.521364,http://fellrunner.org.uk/races.php?id=5786 
Sat 13th Oct 2018 at 11:00,13/10 Langdale Horseshoe,21.1km / 13.1m,1450m / 4757ft,Old Dungeon Ghyll Great Langdale LA22 9JY,England,Lake District,13.1,1450,Old Dungeon Ghyll Great Langdale LA22 9JY,http://fellrunner.org.uk/races.php?id=5593 
Sun 14th Oct 2018 at 11:00,14/10 Andrew Heywood Memorial Windgather,21.7km / 13.5m,762m / 2500ft,Burbage Institute Bishops Lane Buxton SK17 6UL,England,Peak District,13.5,762,Burbage Institute Bishops Lane Buxton SK17 6UL,http://fellrunner.org.uk/races.php?id=5747 
Sun 14th Oct 2018 at 11:00,14/10 Mendip Muddle,20.3km / 12.6m,488m / 1601ft,Charterhouse Centre Charterhouse Blagdon Bristol BS40 7XR,England,South West,12.6,488,Charterhouse Centre Charterhouse Blagdon Bristol BS40 7XR,http://fellrunner.org.uk/races.php?id=5763 
Sat 20th Oct 2018 at 11:00,20/10 British Relay Championships,Unknown,Unknown,Grasmere,England,Lake District,0.0,0,Grasmere,http://fellrunner.org.uk/races.php?id=5857 
Sat 20th Oct 2018 at 13:30,20/10 Slieuwhallian,5km / 3.1m,156m / 512ft,St Johns,England,Isle of Man,3.1,156,St Johns,http://fellrunner.org.uk/races.php?id=5633 
Sat 20th Oct 2018 at 14:30,20/10 Screes,7.9km / 4.9m,475m / 1558ft,The Strands Inn Nether Wasdale CA20 1ET,England,Lake District,4.9,475,54.423868 -3.351658,http://fellrunner.org.uk/races.php?id=5883 
Sat 20th Oct 2018,20/10 Cancelled - Salcombe Coastal Marathon - Autumn,42km / 26.1m,1372m / 4501ft,Torcross,England,South West,26.1,1372,50.267992 -3.652878,http://fellrunner.org.uk/races.php?id=5407 
Sun 21st Oct 2018 at 10:30,21/10 Stuart Learmouth Wirksworth Undulator,13.5km / 8.4m,384m / 1260ft,Stoney Woods Wirksworth Derbyshire on the B5023,England,Peak District,8.4,384,53.086075 -1.574448,http://fellrunner.org.uk/races.php?id=5812 
Sun 21st Oct 2018 at 11:00,21/10 Clwydian Hills,14.4km / 8.9m,915m / 3002ft,Cilcain Village Hall CH7 5NN,Wales,Wales,8.9,915,53.178429 -3.232866,http://fellrunner.org.uk/races.php?id=5377 
Sun 21st Oct 2018 at 11:00,21/10 Gormire Gamble,10km / 6.2m,350m / 1148ft,Sutton Bank Visitor Centre YO7 2EH,England,North York Moors,6.2,350,Sutton Bank Visitor Centre YO7 2EH,http://fellrunner.org.uk/races.php?id=5939 
Sat 27th Oct 2018 at 11:30,27/10 Race You To The Summit,7km / 4.3m,260m / 853ft,Summit Inn A6033 Todmorden Rd Summit Littleborough OL15 9QX,England,South/West Pennines,4.3,260,Summit Inn A6033 Todmorden Rd Summit Littleborough OL15 9QX,http://fellrunner.org.uk/races.php?id=5850 
Sun 28th Oct 2018 at 10:30,28/10 Grin And Bear It,25.5km / 15.8m,758m / 2487ft,Langsett Barn Langsett S36 4GY,England,Peak District,15.8,758,53.500794 -1.683378,http://fellrunner.org.uk/races.php?id=5715 
Sun 28th Oct 2018 at 11:00,28/10 Bronte Way,12km / 7.5m,351m / 1152ft,Aisled Barn Wycoller Country Park Trawden Colne BB8 8SY,England,South/West Pennines,7.5,351,53.848106 -2.104845,http://fellrunner.org.uk/races.php?id=5880 
Sun 28th Oct 2018 at 14:00,28/10 Buttermere Shepherd's Meet,2.5km / 1.6m,275m / 902ft,Buttermere village  NY175170,England,Lake District,1.6,275,54.542420 -3.276738,http://fellrunner.org.uk/races.php?id=5915 
