Date, Race, Distance, Ascent, Venue, Country, Region, Distance (mil), Climb (m), Gmap, Web
Sat 1st Sep 2018 at 10:30,01/09 Longshaw Sheepdog Trials,9.7km / 6m,305m / 1001ft,Longshaw Lodge on Sheffield-Hathersage road,England,Peak District,6.0,305,Longshaw Lodge on Sheffield-Hathersage road,http://fellrunner.org.uk/races.php?id=5571 
Sat 1st Sep 2018 at 11:00,01/09 Derek Price Memorial Grisedale Horseshoe,16km / 9.9m,1525m / 5003ft,Glenridding Village Hall Glenridding CA11 0PA,England,Lake District,9.9,1525,Glenridding Village Hall Glenridding CA11 0PA,http://fellrunner.org.uk/races.php?id=5929 
Sat 1st Sep 2018 at 11:00,01/09 Firth,9.8km / 6.1m,496m / 1627ft,Buckden Village Field BD23 5JA,England,York. Dales,6.1,496,54.190544 -2.091920,http://fellrunner.org.uk/races.php?id=5495 
Sat 1st Sep 2018 at 13:00,01/09 Gladstone 9,14.5km / 9m,855m / 2805ft,Gladstone Hotel Dwygyfylchi Penmaenmawr LL34 6PS,Wales,Wales,9.0,855,53.276517 -3.907602,http://fellrunner.org.uk/races.php?id=5416 
Sat 1st Sep 2018 at 14:00,01/09 Blackshaw Head Fete,8.9km / 5.5m,274m / 899ft,Fete field Blackshaw Head Hebden Bridge,England,South/West Pennines,5.5,274,Fete field Blackshaw Head Hebden Bridge,http://fellrunner.org.uk/races.php?id=5583 
Sat 1st Sep 2018,01/09 Ben Nevis,14km / 8.7m,1347m / 4419ft,New Town Park Claggan Fort William,Scotland,Scotland,8.7,1347,New Town Park Claggan Fort William,http://fellrunner.org.uk/races.php?id=5363 
Sat 1st Sep 2018,01/09 Morrone Hill Race - Braemar Gathering,4.8km / 3m,368m / 1207ft,Braemar Gathering Arena,Scotland,Scotland,3.0,368,Braemar Gathering Arena,http://fellrunner.org.uk/races.php?id=5382 
Sun 2nd Sep 2018 at 10:30,02/09 Exterminator,25.7km / 16m,1290m / 4232ft,Totley Sports & Social Club S17 3AZ,England,Peak District,16.0,1290,Totley Sports & Social Club S17 3AZ,http://fellrunner.org.uk/races.php?id=5598 
Sun 2nd Sep 2018 at 11:00,02/09 Castle Carr,24km / 14.9m,1200m / 3937ft,Hare & Hounds Old Town Hebden Bridge HX7 8TN,England,South/West Pennines,14.9,1200,53.748387 -1.993899,http://fellrunner.org.uk/races.php?id=5558 
Sun 2nd Sep 2018 at 11:00,02/09 John Hewitt Memorial Shelf Moor,9.1km / 5.7m,457m / 1499ft,Scout Hut Old Glossop,England,Peak District,5.7,457,53.450861 -1.938222,http://fellrunner.org.uk/races.php?id=5447 
Sun 2nd Sep 2018 at 11:00,02/09 Stretton Skyline,30.5km / 18.9m,1357m / 4452ft,Church Stretton Social Club Essex Road Church Stretton,England,Shropshire/Welsh Borders,18.9,1357,Church Stretton Social Club Essex Road Church Stretton,http://fellrunner.org.uk/races.php?id=5851 
Sun 2nd Sep 2018 at 12:00,02/09 Burnsall ( B O F R A ),2km / 1.2m,350m / 1148ft,Burnsall,England,York. Dales,1.2,350,Burnsall,http://fellrunner.org.uk/races.php?id=5982 
Sun 2nd Sep 2018 at 14:30,02/09 Loweswater Show,4.2km / 2.6m,305m / 1001ft,New House Farm Lorton Cockermouth,England,Lake District,2.6,305,New House Farm Lorton Cockermouth,http://fellrunner.org.uk/races.php?id=5643 
Mon 3rd Sep 2018 at 18:45,03/09 Trunce 9,6.4km / 4m,170m / 558ft,Oxspring Playing Field Oxspring Sheffield,England,Peak District,4.0,170,53.506807 -1.591361,http://fellrunner.org.uk/races.php?id=5427 
Tue 4th Sep 2018 at 18:30,04/09 Ilam National Trust,7.5km / 4.7m,353m / 1158ft,Ilam Hall DE6 2AZ,England,Peak District,4.7,353,Ilam Hall DE6 2AZ,http://fellrunner.org.uk/races.php?id=5438 
Wed 5th Sep 2018 at 18:00,05/09 Ilkley Junior Sprint Relays,0.8km / 0.5m,30m / 98ft,Wells Rd Ilkley LS29 9RF,England,York. Dales,0.5,30,Wells Rd Ilkley LS29 9RF,http://fellrunner.org.uk/races.php?id=5559 
Wed 5th Sep 2018 at 19:00,05/09 Ilkley Incline,1.6km / 1m,171m / 561ft,Jn of Wells Rd & Keighley Gate Rd,England,York. Dales,1.0,171,Jn of Wells Rd & Keighley Gate Rd,http://fellrunner.org.uk/races.php?id=5513 
Wed 5th Sep 2018 at 19:00,05/09 Sourton Tors,3.9km / 2.4m,244m / 801ft,Bearslake Inn Lake Sourton,England,South West,2.4,244,50.680183 -4.084901,http://fellrunner.org.uk/races.php?id=5731 
Thu 6th Sep 2018 at 18:30,06/09 Hades Hill,8km / 5m,360m / 1181ft,Red Lion PH The Square Whitworth OL12 8PY SD885177,England,South/West Pennines,5.0,360,53.655681 -2.175476,http://fellrunner.org.uk/races.php?id=5424 
Fri 7th Sep 2018 at 18:30,07/09 Great Longstone,7.7km / 4.8m,290m / 951ft,Recreation Ground Great Longstone,England,Peak District,4.8,290,53.241067 -1.700279,http://fellrunner.org.uk/races.php?id=5507 
Sat 8th Sep 2018 at 10:00,08/09 Nine Edges Endurance,32.8km / 20.4m,893m / 2930ft,Fairholmes carpark Ladybower,England,Peak District,20.4,893,53.400262 -1.741275,http://fellrunner.org.uk/races.php?id=5716 
Sat 8th Sep 2018 at 13:00,08/09 Hodder Valley Show,11km / 6.8m,330m / 1083ft,Bluebutts Farm Slaidburn BB7 3AD,England,Bowland/NW Lancs.,6.8,330,Bluebutts Farm Slaidburn BB7 3AD,http://fellrunner.org.uk/races.php?id=5740 
Sat 8th Sep 2018 at 14:30,08/09 Great Westmorland Trail,13km / 8.1m,400m / 1312ft,Crosby Garrett Village Hall Kirkby Stephen,England,North Pennines,8.1,400,Crosby Garrett Village Hall Kirkby Stephen,http://fellrunner.org.uk/races.php?id=5824 
Sat 8th Sep 2018 at 15:00,08/09 Castleton Junior,Unknown,Unknown,Castleton Showfield Castleton N Yorks,England,North York Moors,0.0,0,54.465476 -0.944702,http://fellrunner.org.uk/races.php?id=5862 
Sat 8th Sep 2018 at 15:00,08/09 Lothersdale Show,2.4km / 1.5m,122m / 400ft,Young Farmers Showground Lothersdale BD20 8HB,England,York. Dales,1.5,122,Young Farmers Showground Lothersdale BD20 8HB,http://fellrunner.org.uk/races.php?id=5512 
Sat 8th Sep 2018,08/09 Yorkshire Downhill Time Trial,1.5km / 0.9m,40m / 131ft,Havok Mountain Bike Park Todmorden,England,South/West Pennines,0.9,40,Havok Mountain Bike Park Todmorden,http://fellrunner.org.uk/races.php?id=5661 
Sun 9th Sep 2018 at 10:00,09/09 Fabian4 Dyffryn Conwy Mountain Challenge,Unknown,Unknown,Nant Conwy Rugby Club Trefiw LL26 0PW,Wales,Wales,0.0,0,53.140393 -3.816342,http://fellrunner.org.uk/races.php?id=5774 
Sun 9th Sep 2018 at 10:00,09/09 Yorkshireman Off Road Marathon,42km / 26.1m,1000m / 3281ft,Haworth Primary School,England,South/West Pennines,26.1,1000,Haworth Primary School,http://fellrunner.org.uk/races.php?id=5849 
Sun 9th Sep 2018 at 10:30,09/09 Yorkshireman Off Road Half Marathon,24km / 14.9m,650m / 2133ft,Haworth Primary School,England,South/West Pennines,14.9,650,Haworth Primary School,http://fellrunner.org.uk/races.php?id=5848 
