Date, Race, Distance, Ascent, Venue, Web
Sat 14th Oct 2017 at 11:00,Kate Burge From Sea To Summit,10.3km / 6.4m,950m / 3117ft,Laxey Promenade Isle of Man IM4 7DF,http://fellrunner.org.uk/races.php?id=5007 
Wed 24th May 2017 at 19:00,Carraghan,4km / 2.5m,300m / 984ft,East Baldwin,http://fellrunner.org.uk/races.php?id=5031 
Wed 26th Jul 2017 at 19:00,Snaefell,8km / 5m,550m / 1804ft,Bungalow TT Course IOM,http://fellrunner.org.uk/races.php?id=5037 
Sun 1st Jan 2017 at 13:30,St Johns,5km / 3.1m,275m / 902ft,St Johns Football Club IOM,http://fellrunner.org.uk/races.php?id=5060 
Sat 21st Oct 2017 at 13:30,Slieuwhallian,5km / 3.1m,156m / 512ft,St Johns,http://fellrunner.org.uk/races.php?id=5064 
Sun 26th Mar 2017 at 10:00,Ellan Vannin,20km / 12.4m,1002m / 3287ft,Ballaugh Plantation IOM,http://fellrunner.org.uk/races.php?id=5067 
Sat 9th Dec 2017 at 13:00,Eairy Beg,4.5km / 2.8m,150m / 492ft,Eairy Beg Plantation Glen Helen,http://fellrunner.org.uk/races.php?id=5068 
Sat 18th Nov 2017 at 13:30,Cringle Hill,3km / 1.9m,75m / 246ft,Cringle Plantation Entrance IOM,http://fellrunner.org.uk/races.php?id=5069 
Wed 16th Aug 2017 at 19:00,Killer Mile,1.6km / 1m,180m / 591ft,Lezayre Church Church Hall Lane IM7 2AL,http://fellrunner.org.uk/races.php?id=5071 
Sun 30th Apr 2017 at 10:00,Narradale,20km / 12.4m,1080m / 3543ft,Sulby Claddagh IOM,http://fellrunner.org.uk/races.php?id=5079 
Sat 28th Jan 2017 at 13:30,Ard Whallin,12km / 7.5m,750m / 2461ft,Ard Whallin Outdoor Centre Baldwin IOM,http://fellrunner.org.uk/races.php?id=5134 
Sat 8th Jul 2017 at 08:00,Manx Mountain Marathon,51km / 31.7m,2500m / 8202ft,Market Square Ramsay IOM,http://fellrunner.org.uk/races.php?id=5188 
Wed 14th Jun 2017 at 19:00,James Coulson Laxey Fell,13km / 8.1m,650m / 2133ft,Glen Ruy Farm Laxey IOM,http://fellrunner.org.uk/races.php?id=5192 
Sat 25th Feb 2017 at 13:30,Glen Mona,13km / 8.1m,650m / 2133ft,Glen Mona Hotel Glen Mona IoM,http://fellrunner.org.uk/races.php?id=5193 
Sat 8th Jul 2017 at 13:30,Half Manx Marathon,21.5km / 13.4m,1200m / 3937ft,St Johns,http://fellrunner.org.uk/races.php?id=5213 
