Date, Race, Distance, Ascent, Venue, Web
Sat 6th May 2017 at 11:00,Eskdale Elevation,20.2km / 12.6m,1455m / 4774ft,Boot Eskdale Cumbria CA19 1TG GR NY176011,http://fellrunner.org.uk/races.php?id=4733 
Sun 18th Jun 2017 at 11:00,Great Lakes Run,21km / 13m,2130m / 6988ft,Stool End Farm Great Langdale,http://fellrunner.org.uk/races.php?id=4737 
Wed 26th Jul 2017 at 19:00,Fellside,11.3km / 7m,580m / 1903ft,Fellside Village,http://fellrunner.org.uk/races.php?id=4746 
Sun 19th Mar 2017 at 11:00,Carrock Fell,9km / 5.6m,500m / 1640ft,Calebreck Car Park Hesket Newmarket Wigton CA7 8JR,http://fellrunner.org.uk/races.php?id=4750 
Mon 28th Aug 2017 at 13:30,Black Combe Country Fair Bootle,12.5km / 7.8m,625m / 2051ft,Black Combe Country Fair Show Bootle LA19 5TL,http://fellrunner.org.uk/races.php?id=4752 
Sun 16th Jul 2017 at 13:00,Kentmere Horseshoe,19.8km / 12.3m,1006m / 3300ft,Kentmere Village Hall,http://fellrunner.org.uk/races.php?id=4773 
Wed 19th Apr 2017 at 19:00,Loughrigg,6.4km / 4m,330m / 1083ft,Rothay Park Ambleside,http://fellrunner.org.uk/races.php?id=4776 
Sat 23rd Sep 2017 at 14:00,Orton,10km / 6.2m,258m / 846ft,Orton C of E School CA10 3RG,http://fellrunner.org.uk/races.php?id=4792 
Sat 22nd Jul 2017 at 09:00,Old Crown Round,38km / 23.6m,2200m / 7218ft,Old Crown Hesket Newmarket Cumbria CA7 8JG,http://fellrunner.org.uk/races.php?id=4793 
Sun 1st Oct 2017 at 09:15,Hodgson Brothers Mountain Relay,40km / 24.9m,2450m / 8038ft,King George V Playing Fields Patterdale,http://fellrunner.org.uk/races.php?id=4797 
Sun 2nd Jul 2017 at 12:30,Skiddaw,15.4km / 9.6m,960m / 3150ft,Keswick Football Club Lower Fitz Park Keswick,http://fellrunner.org.uk/races.php?id=4805 
Sat 17th Jun 2017 at 14:00,Tebay,13km / 8.1m,914m / 2999ft,Tebay Recreation Ground,http://fellrunner.org.uk/races.php?id=4829 
Sun 2nd Jul 2017 at 14:30,Bampton Sports Day,8.8km / 5.5m,244m / 801ft,Bampton Village HallHaweswater,http://fellrunner.org.uk/races.php?id=4847 
Sat 16th Sep 2017 at 11:00,Three Shires,20km / 12.4m,1220m / 4003ft,Three Shires Inn Little Langdale Ambleside,http://fellrunner.org.uk/races.php?id=4855 
Sun 3rd Sep 2017 at 14:30,Loweswater Show,4.2km / 2.6m,305m / 1001ft,New House Farm Lorton Cockermouth,http://fellrunner.org.uk/races.php?id=4856 
Sat 8th Apr 2017 at 11:00,Coledale Horseshoe,13.7km / 8.5m,915m / 3002ft,Braithwaite Lodge,http://fellrunner.org.uk/races.php?id=4858 
Wed 19th Jul 2017 at 19:00,Blisco Dash,8km / 5m,650m / 2133ft,Old Dungeon Ghyll Hotel Great Langdale Ambleside,http://fellrunner.org.uk/races.php?id=4859 
