Date, Race, Distance, Ascent, Venue, Web
Sat 5th Aug 2017 at 14:00,Osmotherley Show,8.8km / 5.5m,320m / 1050ft,Osmotherley Show Ground Thimbleby DL6 3PY,http://fellrunner.org.uk/races.php?id=4817 
Sun 3rd Dec 2017 at 10:30,Eskdale Eureka,12.6km / 7.8m,470m / 1542ft,Car Park above NZ680078,http://fellrunner.org.uk/races.php?id=4820 
Sun 5th Nov 2017 at 10:30,Saltergate Gallows,17km / 10.6m,430m / 1411ft,Levisham Village HallPickering N Yorks,http://fellrunner.org.uk/races.php?id=4834 
Sun 24th Sep 2017 at 10:30,Lockton Limping,11.2km / 7m,330m / 1083ft,Lockton Village HallPickering N Yorks,http://fellrunner.org.uk/races.php?id=4870 
Sun 8th Jan 2017 at 10:30,Commondale Clart,8.3km / 5.2m,220m / 722ft,Cleveland Inn CommondaleGuisborough,http://fellrunner.org.uk/races.php?id=4880 
Sun 19th Mar 2017 at 10:30,Blakey Blitz,17km / 10.6m,855m / 2805ft,Lion InnCastleton Whitby,http://fellrunner.org.uk/races.php?id=4890 
Wed 27th Dec 2017 at 11:00,Guisborough Woods,8.8km / 5.5m,376m / 1234ft,Guisborough Rugby Club Guisborough N Yorks,http://fellrunner.org.uk/races.php?id=4897 
Wed 16th Aug 2017 at 19:15,Gribdale Gallop,11.6km / 7.2m,585m / 1919ft,Gribdale car parkGt Ayton N Yorks,http://fellrunner.org.uk/races.php?id=4898 
Sun 23rd Apr 2017 at 10:30,Gisborough Moors,20km / 12.4m,850m / 2789ft,Guisborough Rugby Club,http://fellrunner.org.uk/races.php?id=4901 
Tue 11th Jul 2017 at 19:15,Tom's Bransdale Race,12km / 7.5m,400m / 1312ft,Bransdale Mill Bransdale N Yorks,http://fellrunner.org.uk/races.php?id=4935 
Wed 30th Aug 2017 at 19:00,Roseberry Topping,2.3km / 1.4m,217m / 712ft,Newton under Roseberry Car ParkGreat Ayton,http://fellrunner.org.uk/races.php?id=4939 
Tue 23rd May 2017 at 19:00,Roseberry Romp,8.2km / 5.1m,320m / 1050ft,Public Car Park Newton under Roseberry TS9 6QR,http://fellrunner.org.uk/races.php?id=4940 
Tue 8th Aug 2017 at 19:15,Ravenscar Rumble,7.5km / 4.7m,240m / 787ft,Ravenscar Visitor Centre YO13 0NE,http://fellrunner.org.uk/races.php?id=4944 
Sun 1st Jan 2017 at 11:00,Captain Cook's Races,8km / 5m,318m / 1043ft,Royal Oak Hotel Great Ayton N Yorks,http://fellrunner.org.uk/races.php?id=4960 
Wed 7th Jun 2017 at 19:15,Ossy Oiks,8.5km / 5.3m,525m / 1722ft,Outside ChurchArncliffe Wood Ingleby Cross Stokesley N Yorks,http://fellrunner.org.uk/races.php?id=4997 
Sun 15th Oct 2017 at 11:00,Gormire Gamble,11km / 6.8m,430m / 1411ft,Sutton Bank Visitor Centre YO7 2EH,http://fellrunner.org.uk/races.php?id=5043 
Wed 17th May 2017 at 19:00,Fox & Hounds,14.5km / 9m,457m / 1499ft,Fox & Hounds AinthorpeCastleton Whitby,http://fellrunner.org.uk/races.php?id=5074 
Sun 5th Mar 2017 at 10:30,Glaisdale Rigg,13.7km / 8.5m,562m / 1844ft,Arnecliffe Arms Glaisdale Castleton Whitby,http://fellrunner.org.uk/races.php?id=5087 
Wed 21st Jun 2017 at 19:15,Whorlton Run,6.2km / 3.9m,427m / 1401ft,Swainby Village HallStokesley N Yorks,http://fellrunner.org.uk/races.php?id=5146 
Sun 3rd Sep 2017 at 10:45,Viking Chase,12.9km / 8m,457m / 1499ft,Lordstones Cafe S of Carlton in Cleveland TS9 7JH,http://fellrunner.org.uk/races.php?id=5275 
Wed 26th Jul 2017 at 19:15,Inclined To Madness,11km / 6.8m,375m / 1230ft,Lower Clay Bank Car ParkStokesley N Yorks TS9 7JA,http://fellrunner.org.uk/races.php?id=5318 
