Date, Race, Distance, Ascent, Venue, Web
Thu 13th Jul 2017 at 19:15,Beacon Hill,9.7km / 6m,458m / 1503ft,Lordenshaw car park Rothbury Northumberland,http://fellrunner.org.uk/races.php?id=4731 
Sat 26th Aug 2017 at 14:30,Bellingham Show,6.4km / 4m,183m / 600ft,Bellingham Showfield main ring,http://fellrunner.org.uk/races.php?id=4732 
Sun 1st Jan 2017 at 11:00,Hillforts And Headaches,4.8km / 3m,311m / 1020ft,Newcastle Hotel Rothbury Northumberland,http://fellrunner.org.uk/races.php?id=4770 
Sat 16th Sep 2017 at 14:30,Simonside,11km / 6.8m,350m / 1148ft,Thropton Showfield Coquetdale Northumberland,http://fellrunner.org.uk/races.php?id=4786 
Sun 10th Dec 2017 at 11:00,Simonside Cairns,17.7km / 11m,540m / 1772ft,Newcastle Hotel Rothbury Northumberland,http://fellrunner.org.uk/races.php?id=4787 
Sun 12th Mar 2017 at 10:00,Brough Law,8km / 5m,400m / 1312ft,Bulbys Wood car park Ingram ValleyPowburn Northumberland,http://fellrunner.org.uk/races.php?id=4801 
Sun 18th Jun 2017 at 10:30,Windy Gyle,13.7km / 8.5m,549m / 1801ft,Roadside sheep pens 800m N of Barrowburn Farm Alwinton,http://fellrunner.org.uk/races.php?id=4802 
Sun 25th Jun 2017 at 11:00,Cronkley,16.9km / 10.5m,535m / 1755ft,Bowlees Visitor Centre Newbiggin Barnard Castle DL12 0XF,http://fellrunner.org.uk/races.php?id=4867 
Sun 10th Sep 2017 at 11:00,Whitfield Village Fair,7.6km / 4.7m,204m / 669ft,NY 77875715 NE47 8HB,http://fellrunner.org.uk/races.php?id=4875 
Sat 1st Jul 2017 at 10:30,Chevy Chase,32.2km / 20m,1219m / 3999ft,Wooler Youth Hostel,http://fellrunner.org.uk/races.php?id=4906 
Sun 15th Oct 2017 at 11:00,Allenheads Natural Ability,9.5km / 5.9m,350m / 1148ft,Allenheads NE47 9HN,http://fellrunner.org.uk/races.php?id=4923 
Tue 18th Jul 2017 at 19:30,Roof Of England - Chapel Fell Top,7km / 4.3m,400m / 1312ft,Chatterbox Cafe 11 Market Place St John's Chapel DL13 1QF,http://fellrunner.org.uk/races.php?id=4941 
Wed 21st Jun 2017 at 19:15,Humbleton Fell,8.5km / 5.3m,240m / 787ft,Shaftoe Trust Primary School Haydon Bridge NE47 6BN,http://fellrunner.org.uk/races.php?id=4951 
Sat 10th Jun 2017 at 10:30,Alwinton 3 Tops,24km / 14.9m,750m / 2461ft,AlwintonRothburyNorthumberland,http://fellrunner.org.uk/races.php?id=4963 
Tue 4th Jul 2017 at 19:30,Saltwell Harriers,9km / 5.6m,300m / 984ft,On B6278 two miles north of Stanhope Co Durham,http://fellrunner.org.uk/races.php?id=5000 
Sun 3rd Dec 2017 at 11:00,Angus Tait Hexhamshire Hobble,16.8km / 10.4m,379m / 1243ft,Allendale Primary School Allendale Northumberland NE47 9PS,http://fellrunner.org.uk/races.php?id=5042 
Sat 27th May 2017 at 11:00,Allendale Fair,12.1km / 7.5m,224m / 735ft,Allendale Primary School Sports Hall Allendale Northumberland NE47 9PS,http://fellrunner.org.uk/races.php?id=5048 
Sun 13th Aug 2017 at 14:00,Forestburn,5.6km / 3.5m,150m / 492ft,Gate Pub on B6342 NE61 4PT,http://fellrunner.org.uk/races.php?id=5194 
Sat 19th Aug 2017 at 14:30,Falstone Falcon,8km / 5m,230m / 755ft,Showfield Falstone Northumberland,http://fellrunner.org.uk/races.php?id=5257 
