Date, Race, Distance, Ascent, Venue, Web
Wed 7th Jun 2017 at 19:30,Boar's Head,13km / 8.1m,400m / 1312ft,Boar's Head Hotel HrPoynton GR SJ943833,http://fellrunner.org.uk/races.php?id=4734 
Sat 6th May 2017 at 14:00,Bollington Festival 3 Peaks,9km / 5.6m,370m / 1214ft,Bollington Brewery Adlington Rd Bollington Ches SK10 5JT,http://fellrunner.org.uk/races.php?id=4735 
Sat 24th Jun 2017 at 14:00,Chrome Hill,6.4km / 4m,213m / 699ft,Hollinsclough Academy SK17 0RH,http://fellrunner.org.uk/races.php?id=4736 
Thu 20th Apr 2017 at 19:30,Hartcliff Hill,4km / 2.5m,150m / 492ft,Langsett Barn S36 4GY,http://fellrunner.org.uk/races.php?id=4742 
Sat 1st Jul 2017 at 15:00,Thurlstone Chase,6.4km / 4m,244m / 801ft,Thurlstone Showground,http://fellrunner.org.uk/races.php?id=4743 
Sun 17th Sep 2017 at 11:00,Fat Boys Stanage Struggle,9.9km / 6.2m,355m / 1165ft,Hathersage Primary School School Lane Hathersage,http://fellrunner.org.uk/races.php?id=4758 
Sat 16th Sep 2017 at 14:00,Lantern Pike,8km / 5m,320m / 1050ft,Spray House Farm Little Hayfield,http://fellrunner.org.uk/races.php?id=4774 
Tue 1st Aug 2017 at 19:30,Parwich Panoramic Five,8.5km / 5.3m,200m / 656ft,Sycamore Inn Parwich Ashbourne Derbys DE6 1QA,http://fellrunner.org.uk/races.php?id=4780 
Wed 17th May 2017 at 19:15,Shining Tor,10km / 6.2m,311m / 1020ft,Errwood Sailing Club Goyt Valley Sandy Ln Buxton Derbyshire SK17 6GJ,http://fellrunner.org.uk/races.php?id=4784 
Wed 19th Jul 2017 at 19:30,Bamford Carnival,7.25km / 4.5m,305m / 1001ft,Bamford Recreation Ground,http://fellrunner.org.uk/races.php?id=4795 
Sun 3rd Dec 2017 at 11:00,Bill Fox Gravy Pud Race,8km / 5m,305m / 1001ft,Bulls Head Tintwistle SK13 1JY,http://fellrunner.org.uk/races.php?id=4798 
Sun 23rd Jul 2017 at 11:00,Holme Moss,28.5km / 17.7m,1315m / 4314ft,Cartworth Moor Cricket ClubHolmfirth HD9 2TU,http://fellrunner.org.uk/races.php?id=4806 
Mon 29th May 2017 at 14:45,Shutlingsloe,3km / 1.9m,270m / 886ft,Crag Hall Wildboarclough SK11 0BD,http://fellrunner.org.uk/races.php?id=4812 
Sun 25th Jun 2017 at 11:00,Kinder Trog,25.7km / 16m,1064m / 3491ft,Scout Hut Hayfield,http://fellrunner.org.uk/races.php?id=4813 
Wed 3rd May 2017 at 19:30,Rainow 5,8km / 5m,229m / 751ft,Rainow Institute B5470 between Macclesfield and Whaley Bridge,http://fellrunner.org.uk/races.php?id=4814 
Sun 11th Jun 2017 at 11:00,Accelerate Edale Race,7.6km / 4.7m,402m / 1319ft,Registration at Edale Village Hall,http://fellrunner.org.uk/races.php?id=4815 
Sun 9th Jul 2017 at 11:15,Peak Forest,9.7km / 6m,198m / 650ft,The former Peak Forest Village Store Church Lane SK17 8EL,http://fellrunner.org.uk/races.php?id=4818 
Tue 20th Jun 2017 at 19:30,Blacka Moor Chase,10km / 6.2m,440m / 1444ft,Totley AC PavilionCricket Inn GR302800,http://fellrunner.org.uk/races.php?id=4819 
Sat 12th Aug 2017 at 09:30,Half Tour Of Bradwell,25km / 15.5m,970m / 3182ft,Bradwell Sports Club S33 9ST Enter opposite Samuel Fox pub,http://fellrunner.org.uk/races.php?id=4822 
Sat 12th Aug 2017 at 09:00,Long Tour Of Bradwell,52.7km / 32.7m,2200m / 7218ft,Bradwell Sports Club S33 9ST Enter opposite Samuel Fox pub,http://fellrunner.org.uk/races.php?id=4823 
Mon 3rd Jul 2017 at 19:30,Hathersage Gala,7.2km / 4.5m,325m / 1066ft,School field School Lane Hathersage S32 1BZ,http://fellrunner.org.uk/races.php?id=4842 
Thu 10th Aug 2017 at 19:15,Denis Stitt Memorial Race,6km / 3.7m,370m / 1214ft,Cartworth Moor Cricket ClubHolmfirth HD9 2TU,http://fellrunner.org.uk/races.php?id=4844 
Fri 9th Jun 2017 at 19:30,Castleton,10.8km / 6.7m,458m / 1503ft,Castleton playing fields S33 8WB,http://fellrunner.org.uk/races.php?id=4872 
Fri 1st Sep 2017 at 18:30,Great Longstone,7.7km / 4.8m,290m / 951ft,Recreation Ground Great Longstone,http://fellrunner.org.uk/races.php?id=4873 
Sun 25th Jun 2017 at 14:30,Langley Fete,4.5km / 2.8m,198m / 650ft,Langley Village playing field,http://fellrunner.org.uk/races.php?id=4874 
Fri 19th May 2017 at 19:30,Hayfield May Queen,4.7km / 2.9m,200m / 656ft,Hayfield Scout Hut Swallowhouse Lane Hayfield  SK22 2HB,http://fellrunner.org.uk/races.php?id=4882 
