Date, Race, Distance, Ascent, Venue, Web
Sat 4th Mar 2017 at 14:00,Carding Mill Canter,8km / 5m,580m / 1903ft,Carding Mill Valley Pavilion Church Stretton SY6 6JG,http://fellrunner.org.uk/races.php?id=4751 
Sat 4th Feb 2017 at 11:45,Titterstone Clee,4.1km / 2.5m,229m / 751ft,Cleeton St Mary DY14 0QU,http://fellrunner.org.uk/races.php?id=4825 
Sun 5th Feb 2017 at 11:30,Long Mynd Valleys,18.5km / 11.5m,1372m / 4501ft,Note new venue: registration at The Pavilion Cafe Carding Mill Valley Church Stretton SY6 6JG,http://fellrunner.org.uk/races.php?id=4826 
Wed 10th May 2017 at 19:30,Wrekin Streak,4.5km / 2.8m,247m / 810ft,Forest Glen Wellington Telford,http://fellrunner.org.uk/races.php?id=4830 
Wed 26th Apr 2017 at 19:30,Caradoc Classic,5.6km / 3.5m,268m / 879ft,Church Stretton Social Club Essex Road (turn right over railway bridge into Church Stretton from A49),http://fellrunner.org.uk/races.php?id=4838 
Sun 24th Sep 2017 at 11:00,Powis Arms Bury Ditches,9.3km / 5.8m,395m / 1296ft,Powis Arms Lydbury North Shropshire SY7 8AU,http://fellrunner.org.uk/races.php?id=4891 
Sun 4th Jun 2017 at 11:00,Callow,8km / 5m,760m / 2493ft,Ragleth Inn  SY6 6RE,http://fellrunner.org.uk/races.php?id=4959 
Sun 23rd Apr 2017 at 11:00,Mynd Dragon,9.2km / 5.7m,850m / 2789ft,Little stretton Village Hall  SY6 6RE,http://fellrunner.org.uk/races.php?id=4995 
Wed 23rd Aug 2017 at 19:00,Ragleth Inn,6.4km / 4m,490m / 1608ft,Ragleth Inn  SY6 6RE,http://fellrunner.org.uk/races.php?id=4999 
Sun 14th May 2017 at 10:00,South Mynd Tour,23km / 14.3m,1270m / 4167ft,Little Stretton see website for details,http://fellrunner.org.uk/races.php?id=5054 
Wed 24th May 2017 at 19:30,Batch Bash,4.8km / 3m,305m / 1001ft,Yew Tree Inn All Stretton SY6 6HG,http://fellrunner.org.uk/races.php?id=5056 
Sun 19th Nov 2017 at 11:00,Wrekin Wrecker,12.9km / 8m,732m / 2402ft,Buckatree Hall Hotel Wellington TF6 5AL,http://fellrunner.org.uk/races.php?id=5107 
Sat 28th Oct 2017 at 10:00,Hell O' The Mynd,50km / 31.1m,5000m / 16404ft,Womerton Farm All Stretton SY6 6LJ,http://fellrunner.org.uk/races.php?id=5110 
Sat 25th Mar 2017 at 12:00,Long Mynd Valleys English Champs,18.5km / 11.5m,1372m / 4501ft,Cardingmill Valley Church Stretton SY6 6JG,http://fellrunner.org.uk/races.php?id=5111 
Sun 19th Mar 2017 at 11:00,Wrekin,8.8km / 5.5m,519m / 1703ft,Ercall Wood School Golf Links Lane Wellington Telford TF1 2DT,http://fellrunner.org.uk/races.php?id=5177 
Sun 3rd Sep 2017 at 11:00,Stretton Skyline,30.5km / 18.9m,1357m / 4452ft,Church Stretton Social Club Essex Road Church Stretton,http://fellrunner.org.uk/races.php?id=5183 
Sun 3rd Dec 2017 at 11:00,Cardington Cracker,14.5km / 9m,793m / 2602ft,Cardington Village Hall CardingtonChurch Stretton SY6 7JZ,http://fellrunner.org.uk/races.php?id=5198 
Wed 21st Jun 2017 at 19:30,Pontesbury,4.9km / 3m,354m / 1161ft,Registration at Pontesbury Sec School Bogey Lane Pontesbury SY5 0TG,http://fellrunner.org.uk/races.php?id=5288 
Sun 28th May 2017 at 11:30,Mynydd Myfyr,6.5km / 4m,125m / 410ft,Trefonen Village HallOswestry SY10 9DY,http://fellrunner.org.uk/races.php?id=5316 
