Date, Race, Distance, Ascent, Venue, Web
Sun 5th Feb 2017 at 09:30,Sidmouth 4 Trigs Challenge,26km / 16.2m,914m / 2999ft,Sidmouth Sailing Club,http://fellrunner.org.uk/races.php?id=4785 
Sat 29th Apr 2017,Salcombe Coastal Marathon - Spring,42km / 26.1m,1372m / 4501ft,Torcross,http://fellrunner.org.uk/races.php?id=4790 
Sat 2nd Sep 2017 at 15:00,Dartmoor Beer And Bacon,10.3km / 6.4m,300m / 984ft,The Fox and Hounds HotelLydford EX20 4HF,http://fellrunner.org.uk/races.php?id=4796 
Wed 23rd Aug 2017 at 19:00,Crook Peak Cake Race,4.8km / 3m,200m / 656ft,White Hart Cross Axbridge Somerset BS26 2EE,http://fellrunner.org.uk/races.php?id=4837 
Tue 20th Jun 2017 at 19:30,Beacon Batch,8km / 5m,305m / 1001ft,Burrington Inn BurringtonNr Bristol BS40 7AT,http://fellrunner.org.uk/races.php?id=4846 
Sun 2nd Apr 2017 at 10:00,Exe To Axe,32.4km / 20.1m,1219m / 3999ft,Foxes Hole Car Park Exmouth EX8 2AY,http://fellrunner.org.uk/races.php?id=4905 
Sun 24th Sep 2017 at 11:00,Bovey Beauty,16km / 9.9m,560m / 1837ft,Woodland Trust car park Bovey Valley Woods by Drakeford Bridge,http://fellrunner.org.uk/races.php?id=4918 
Sat 1st Jul 2017 at 14:30,Charmouth Challenge,12.4km / 7.7m,580m / 1903ft,Charmouth Primary School Lower Sea Lane Charmouth Dorset DT6 6LR,http://fellrunner.org.uk/races.php?id=4970 
Sat 11th Feb 2017 at 18:00,Wild Night Run,16km / 9.9m,362m / 1188ft,South Brent Village Hall TQ10 9AQ,http://fellrunner.org.uk/races.php?id=5003 
Sun 16th Apr 2017 at 10:30,5 Tors,12.6km / 7.8m,313m / 1027ft,MinionsLiskeard Cornwall PL14 5LE,http://fellrunner.org.uk/races.php?id=5086 
Wed 6th Sep 2017 at 19:00,Sourton Tors,3.9km / 2.4m,244m / 801ft,Bearslake Inn LakeSourton,http://fellrunner.org.uk/races.php?id=5095 
Sat 26th Aug 2017 at 11:00,Oke Croak,16.7km / 10.4m,628m / 2060ft,Okehampton Running Club,http://fellrunner.org.uk/races.php?id=5096 
Sat 5th Aug 2017 at 14:00,Marilyn's Meldon Madness ( Formerly Great West ),8km / 5m,415m / 1362ft,Meldon reservoirOkehampton,http://fellrunner.org.uk/races.php?id=5097 
Sun 9th Jul 2017 at 12:00,Masanga ( Cadover Bridge ),9km / 5.6m,350m / 1148ft,Cadover Bridge,http://fellrunner.org.uk/races.php?id=5135 
Sun 25th Jun 2017 at 10:00,North Devon  Aonb Marathon,42.2km / 26.2m,1031m / 3383ft,The Green Esplanade Woolacombe Devon,http://fellrunner.org.uk/races.php?id=5168 
Sun 25th Jun 2017 at 10:15,North Devon Aonb Half Marathon,22km / 13.7m,413m / 1355ft,The Green Esplanade Woolacombe North Devon,http://fellrunner.org.uk/races.php?id=5169 
Sat 12th Aug 2017 at 13:00,Sticklepath Horseshoe,15.5km / 9.6m,519m / 1703ft,Sticklepath,http://fellrunner.org.uk/races.php?id=5186 
Sun 8th Oct 2017 at 11:00,Mendip Muddle,20.3km / 12.6m,488m / 1601ft,Charterhouse Centre CharterhouseBlagdon Bristol BS40 7XR,http://fellrunner.org.uk/races.php?id=5209 
Sun 9th Jul 2017 at 14:30,Cosdon,5.2km / 3.2m,315m / 1033ft,Belstone Village Green,http://fellrunner.org.uk/races.php?id=5223 
Sat 8th Jul 2017 at 12:30,Lydford Dash,7.8km / 4.8m,215m / 705ft,Lydford Sports Field EX20 4AU,http://fellrunner.org.uk/races.php?id=5328 
Wed 21st Jun 2017 at 19:00,Summer Solstice,8.3km / 5.2m,255m / 837ft,The Dartmoor Inn Merrivale PL20 6ST,http://fellrunner.org.uk/races.php?id=5332 
Sat 21st Oct 2017,Salcombe Coastal Marathon - Autumn,42km / 26.1m,1372m / 4501ft,Torcross,http://fellrunner.org.uk/races.php?id=5334 
