Date, Race, Distance, Ascent, Venue, Web
Thu 7th Sep 2017 at 18:45,Hades Hill,8km / 5m,360m / 1181ft,Red Lion PH The Square Whitworth OL12 8PY SD885177,http://fellrunner.org.uk/races.php?id=4744 
Wed 16th Aug 2017 at 19:00,Golf Ball,8.8km / 5.5m,244m / 801ft,CPA Club Commercial St Loveclough Rossendale BB4 8QA,http://fellrunner.org.uk/races.php?id=4745 
Tue 28th Mar 2017 at 18:45,Pete Hartley Memorial Liver Hill,7km / 4.3m,250m / 820ft,Marl Pits Sports Centre Newchurch Road Rawtenstall BB4 7SW,http://fellrunner.org.uk/races.php?id=4775 
Sat 25th Feb 2017 at 11:00,Midgley Moor,8km / 5m,381m / 1250ft,Booth Cricket Club Booth Halifax,http://fellrunner.org.uk/races.php?id=4777 
Sun 27th Aug 2017 at 10:30,Norland Moor,10.1km / 6.3m,270m / 886ft,Copley Cricket Club Copley off Wakefield Rd Halifax HX3 0TJ,http://fellrunner.org.uk/races.php?id=4779 
Wed 9th Aug 2017 at 19:15,Pilgrims Cross,9.7km / 6m,336m / 1102ft,Sunnybank Social Club Hemshore Rd Helmshore Rossendale BB4 4LQ,http://fellrunner.org.uk/races.php?id=4781 
Thu 6th Jul 2017 at 19:30,Rangers Alderman's Ascent,8.5km / 5.3m,402m / 1319ft,Shaw Hall Bank Rd Greenfield OL3 7LD,http://fellrunner.org.uk/races.php?id=4782 
Wed 2nd Aug 2017 at 19:30,Whittle Pike,8.2km / 5.1m,488m / 1601ft,Cowpe Village Hall Waterfoot Rossendale,http://fellrunner.org.uk/races.php?id=4789 
Sun 12th Nov 2017 at 11:30,Wadsworth Half Trog,15km / 9.3m,420m / 1378ft,Hare & Hounds Old Town Hebden Bridge HX7 8TN,http://fellrunner.org.uk/races.php?id=4791 
Wed 28th Jun 2017 at 19:30,Eddie's Revenge,6.1km / 3.8m,323m / 1060ft,St Saviours Church Buckstones Rd Shaw OL2 8NB,http://fellrunner.org.uk/races.php?id=4799 
Tue 20th Jun 2017 at 19:15,Bridestone,7.5km / 4.7m,375m / 1230ft,Harley Wood Playing Fields off Stoney Royd Lane Todmorden OL14 8EP (see registration below),http://fellrunner.org.uk/races.php?id=4800 
Sat 4th Mar 2017 at 11:00,Stan Bradshaw Pendle Round,16.7km / 10.4m,590m / 1936ft,BarleyBurnley,http://fellrunner.org.uk/races.php?id=4803 
Sat 28th Jan 2017 at 11:00,Hoofstones,12.9km / 8m,425m / 1394ft,Staff of Life pub Burnley Rd Todmorden OL14 8JF,http://fellrunner.org.uk/races.php?id=4808 
Thu 1st Jun 2017 at 19:30,Hebden Bridge,10.4km / 6.5m,350m / 1148ft,Machpelah House Station Rd Hebden Bridge HX7 8AU,http://fellrunner.org.uk/races.php?id=4809 
Tue 4th Jul 2017 at 19:30,Stoodley Pike,5km / 3.1m,213m / 699ft,Top Brink Inn Lumbutts Todmorden OL14 6JB,http://fellrunner.org.uk/races.php?id=4816 
Sun 12th Feb 2017 at 11:30,Windy Hill,14.5km / 9m,390m / 1280ft,Littleborough Rugby Club Rakewood Rd Littleborough OL15 0AP (nr campsite behind Hollingworth Lake),http://fellrunner.org.uk/races.php?id=4831 
Sat 4th Feb 2017 at 10:00,Wadsworth Trog,31km / 19.3m,1110m / 3642ft,Old Town Cricket Club Old Town Mill Lane Hebden Bridge HX7 8SW,http://fellrunner.org.uk/races.php?id=4833 
Sat 19th Aug 2017 at 11:00,Pendle 3 Peaks,16km / 9.9m,870m / 2854ft,The Pendle Inn Barley Burnley Lancs BB12 9JX,http://fellrunner.org.uk/races.php?id=4835 
Sun 7th May 2017 at 12:00,Great Hameldon,9.6km / 6m,338m / 1109ft,Peel Park Hotel Turkey St Accrington BB5 6EW,http://fellrunner.org.uk/races.php?id=4836 
Sat 2nd Sep 2017 at 14:00,Blackshaw Head Fete,8.9km / 5.5m,274m / 899ft,Fete field Blackshaw HeadHebden Bridge,http://fellrunner.org.uk/races.php?id=4839 
Sun 17th Sep 2017 at 14:00,Utterley Butterley,8km / 5m,260m / 853ft,Marsden Cricket Club Mount Rd Marsden HD7 6NN,http://fellrunner.org.uk/races.php?id=4840 
Sun 3rd Sep 2017 at 11:00,Castle Carr,22.5km / 14m,1150m / 3773ft,Hare & Hounds Old Town Hebden Bridge HX7 8TN,http://fellrunner.org.uk/races.php?id=4845 
Sat 18th Nov 2017 at 10:30,Tour Of Pendle,27km / 16.8m,1473m / 4833ft,Barley Village Hall,http://fellrunner.org.uk/races.php?id=4848 
Tue 1st Aug 2017 at 19:30,Crow Hill Reverse,8km / 5m,305m / 1001ft,Dusty Miller Pub Burnley Rd Mytholmroyd HX7 5LH,http://fellrunner.org.uk/races.php?id=4857 
Sun 8th Oct 2017 at 11:30,Withins Skyline,12km / 7.5m,300m / 984ft,Penistone Hill Country ParkHaworth Keighley,http://fellrunner.org.uk/races.php?id=4860 
Wed 28th Jun 2017 at 19:30,Cragg Vale,6.4km / 4m,244m / 801ft,Near Cragg Church,http://fellrunner.org.uk/races.php?id=4866 
Wed 14th Jun 2017 at 19:30,Brown Wardle (and A Bit Moor),5.3km / 3.3m,360m / 1181ft,Whitworth Scout Hut Longacres Lane Whitworth OL12 8JS,http://fellrunner.org.uk/races.php?id=4871 
Sat 26th Aug 2017 at 14:00,Pendleton,8km / 5m,457m / 1499ft,Village Hall PendletonClitheroe BB7 1PT,http://fellrunner.org.uk/races.php?id=4877 
Tue 9th May 2017 at 19:15,Mearley Clough,5.6km / 3.5m,380m / 1247ft,Calf's Head WorstonClitheroe,http://fellrunner.org.uk/races.php?id=4878 
Thu 22nd Jun 2017 at 19:15,Aggie's Staircase,6.4km / 4m,350m / 1148ft,Punstock Rd Darwen,http://fellrunner.org.uk/races.php?id=4883 
Sat 14th Jan 2017 at 12:30,Ashurst Beacon,9.5km / 5.9m,290m / 951ft,Prince William Inn DaltonSkelmersdale WN8 7RU,http://fellrunner.org.uk/races.php?id=4887 
Sun 10th Sep 2017 at 10:30,Yorkshireman Off Road Half Marathon,24km / 14.9m,650m / 2133ft,Haworth Primary School,http://fellrunner.org.uk/races.php?id=4896 
Sat 19th Aug 2017,Gargrave Show,5.6km / 3.5m,274m / 899ft,Gargrave Showfield Eshton Road Gargrave BD23 3QE,http://fellrunner.org.uk/races.php?id=4902 
Wed 24th May 2017 at 19:15,Fo(e) Edge,6.6km / 4.1m,300m / 984ft,Cowpe Village Hall Waterfoot Rossendale BB4 7DP,http://fellrunner.org.uk/races.php?id=4903 
Sat 29th Apr 2017 at 11:00,The Cake Race,16km / 9.9m,518m / 1699ft,Kiln Green Church Diggle Saddleworth,http://fellrunner.org.uk/races.php?id=4914 
Sat 30th Sep 2017 at 11:00,Thieveley Pike,7km / 4.3m,400m / 1312ft,St John's Church Hall Holme Chapel-in-ClivigerBurnley BB10 4SU,http://fellrunner.org.uk/races.php?id=4937 
Wed 24th May 2017 at 19:30,Harrock Hill 1,8.4km / 5.2m,275m / 902ft,800m from Farmers Arms Bispham GreenParbold L40 3SL,http://fellrunner.org.uk/races.php?id=4954 
Wed 28th Jun 2017 at 19:30,Harrock Hill 2,8.4km / 5.2m,275m / 902ft,800m from Farmers Arms Bispham GreenParbold L40 3SL,http://fellrunner.org.uk/races.php?id=4955 
Wed 26th Jul 2017 at 19:30,Harrock Hill 3,8.4km / 5.2m,275m / 902ft,800m from the Farmers Arms Bispham GreenParbold L40 3SL,http://fellrunner.org.uk/races.php?id=4957 
Wed 23rd Aug 2017 at 19:00,Harrock Hill 4,8.4km / 5.2m,275m / 902ft,800m from Farmers Arms Bispham GreenParbold L40 3SL,http://fellrunner.org.uk/races.php?id=4958 
Sat 24th Jun 2017 at 15:15,Eldwick Gala,4.8km / 3m,168m / 551ft,Eldwick Memorial Hall BD16 3EQ,http://fellrunner.org.uk/races.php?id=4967 
Sun 5th Nov 2017 at 10:30,Cop Hill,11.3km / 7m,274m / 899ft,Meltham Sports & Community Centre HD9  5QT,http://fellrunner.org.uk/races.php?id=4968 
Sun 5th Mar 2017 at 11:00,Postponed - Ian Roberts Memorial,10.3km / 6.4m,260m / 853ft,Marsden Cricket Club Marsden HD7 6NN,http://fellrunner.org.uk/races.php?id=4988 
Sat 22nd Jul 2017 at 11:30,Bingley Show,10.6km / 6.6m,304m / 997ft,Myrtle Park Bingley,http://fellrunner.org.uk/races.php?id=4990 
Sat 18th Feb 2017 at 11:30,Flower Scar,13.3km / 8.3m,660m / 2165ft,Todmorden Cricket Club Burnley Road Todmorden OL14 7BS,http://fellrunner.org.uk/races.php?id=4994 
Sun 10th Sep 2017 at 10:00,Yorkshireman Off Road Marathon,42km / 26.1m,1000m / 3281ft,Haworth Primary School,http://fellrunner.org.uk/races.php?id=5004 
Sat 25th Mar 2017 at 13:00,Boulsworth Bog,13.2km / 8.2m,425m / 1394ft,Wycoller Country Park Hall BB8 8SY,http://fellrunner.org.uk/races.php?id=5019 
Fri 17th Feb 2017 at 19:30,Mr Sparkle's Dark 'un,8.1km / 5m,214m / 702ft,Royal Hotel Tockholes Darwen BB3 0PA,http://fellrunner.org.uk/races.php?id=5039 
