Date, Race, Distance, Ascent, Venue, Web
Sat 12th Aug 2017 at 15:20,Arncliffe Gala ( B O F R A ),3km / 1.9m,140m / 459ft,Arncliffe Village Green BD23 5QD,http://fellrunner.org.uk/races.php?id=4730 
Sat 20th May 2017 at 11:00,Charlesworth Chase ( Simon's Seat),8.3km / 5.2m,366m / 1201ft,Outside Craven Arms Appletreewick N Yorks BD23 6DA,http://fellrunner.org.uk/races.php?id=4749 
Wed 6th Sep 2017 at 19:00,Ilkley Incline,1.6km / 1m,171m / 561ft,Jn of Wells Rd & Keighley Gate Rd,http://fellrunner.org.uk/races.php?id=4771 
Sun 30th Jul 2017 at 11:00,James Herriot Run,14km / 8.7m,305m / 1001ft,Bolton Castle Castle BoltonLeyburn N Yorks DL8 4ET,http://fellrunner.org.uk/races.php?id=4772 
Thu 10th Aug 2017 at 13:00,Appleby Show Murton Pike,10km / 6.2m,520m / 1706ft,Appleby Showfield CA16 6LP,http://fellrunner.org.uk/races.php?id=4778 
Sat 3rd Jun 2017 at 11:00,Wharfedale Trail 1/2 Marathon,21km / 13m,590m / 1936ft,Wharfedale Rugby Club Threshfield Skipton BD23 5BS,http://fellrunner.org.uk/races.php?id=4788 
Sat 29th Apr 2017 at 10:30,63rd Three Peaks,37.4km / 23.2m,1608m / 5276ft,Playing fields Horton-in-Ribblesdale North Yorks,http://fellrunner.org.uk/races.php?id=4804 
Sat 19th Aug 2017 at 13:30,Weasdale Horseshoe,14km / 8.7m,610m / 2001ft,Ravenstonedale Show Field Newbiggin on Lune,http://fellrunner.org.uk/races.php?id=4832 
Tue 29th Aug 2017 at 15:15,Kilnsey Crag ( B O F R A ),2km / 1.2m,124m / 407ft,Kilnsey Show BD23 5UQ,http://fellrunner.org.uk/races.php?id=4841 
Wed 6th Sep 2017 at 18:00,Ilkley Junior Sprint Relays,0.8km / 0.5m,30m / 98ft,Wells Rd Ilkley LS29 9RF,http://fellrunner.org.uk/races.php?id=4843 
Thu 10th Aug 2017 at 19:00,Kings Challenge,9.6km / 6m,360m / 1181ft,The Kings Arms Silsden BD20 0JY,http://fellrunner.org.uk/races.php?id=4861 
Thu 3rd Aug 2017 at 19:15,Eshton Moor ( B O F R A ),8.3km / 5.2m,172m / 564ft,Old Hall Farm Gargrave BD20 3UT,http://fellrunner.org.uk/races.php?id=4862 
Thu 27th Apr 2017 at 19:00,Dick Hudson's,11.2km / 7m,335m / 1099ft,Bottom of track up to White Wells Wells Road IlkleyLS29 9RF,http://fellrunner.org.uk/races.php?id=4863 
Thu 22nd Jun 2017 at 19:15,Beamsley Beacon,8.8km / 5.5m,335m / 1099ft,The Crown Inn 136 Main Street Addingham LS29 0NS,http://fellrunner.org.uk/races.php?id=4865 
Sun 6th Aug 2017 at 11:00,Round Hill,14.1km / 8.8m,335m / 1099ft,Timble village crossroadsOtley,http://fellrunner.org.uk/races.php?id=4876 
Sat 8th Jul 2017 at 15:10,Addingham Gala,9.5km / 5.9m,300m / 984ft,Addingham Gala FieldIlkley LS29 0LZ,http://fellrunner.org.uk/races.php?id=4879 
Sat 17th Jun 2017 at 14:30,Buckden Pike,6km / 3.7m,486m / 1594ft,Buckden Village Green BD23 5JA,http://fellrunner.org.uk/races.php?id=4895 
Sat 23rd Sep 2017 at 12:30,Great Whernside,6.5km / 4m,475m / 1558ft,Start field Scabbate Gate KettlewellBD23 5RH,http://fellrunner.org.uk/races.php?id=4899 
Wed 10th May 2017 at 19:00,Cautley Horseshoe,7.54km / 4.7m,805m / 2641ft,Cross Keys Inn Cautley A623,http://fellrunner.org.uk/races.php?id=4907 
Sat 19th Aug 2017 at 16:30,Burnsall Classic,2.4km / 1.5m,274m / 899ft,Burnsall Skipton BD23 6BU,http://fellrunner.org.uk/races.php?id=4917 
Sun 18th Jun 2017 at 10:30,Settle Hills,11.3km / 7m,400m / 1312ft,North Ribblesdale RUFC Settle BD24 9QH,http://fellrunner.org.uk/races.php?id=4938 
